frequency,split,fold,train_start_wave,train_end_wave,validation_wave,model,params,alr_epsilon,weighted_tv,unweighted_tv,weighted_mae,unweighted_mae,weighted_component_mae,neither_recorded_weighted_mae,neither_recorded_weighted_rmse,neither_recorded_weighted_r2,indoor_only_weighted_mae,indoor_only_weighted_rmse,indoor_only_weighted_r2,outdoor_only_weighted_mae,outdoor_only_weighted_rmse,outdoor_only_weighted_r2,both_weighted_mae,both_weighted_rmse,both_weighted_r2,indoor_weighted_mae,outdoor_weighted_mae,indoor_weighted_rmse,outdoor_weighted_rmse,tv_rank,mae_rank,selection_mean_rank,skill_vs_naive,is_selected_model
annual,rolling_validation_fold,train_2017_18_to_2019_20__validate_2020_21,2017/18,2019/20,2020/21,Gradient Boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 5, ""n_estimators"": 120}",1e-06,0.03409782683405578,0.03292228924454958,0.02110389040918448,0.01980932465037247,0.01704891341702789,0.02226614993042716,0.03283575745762258,0.8803148932768091,0.020558621466839615,0.02814783487104152,0.5504609169426358,0.013693974964582791,0.020967151207965194,0.4720758548157109,0.011676907306262007,0.017656227774013166,0.7584608052275887,0.023025065313086478,0.01918271550528249,0.03191483365021197,0.0261280169600316,,,,,
annual,rolling_validation_fold,train_2017_18_to_2020_21__validate_2021_22,2017/18,2020/21,2021/22,Gradient Boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 5, ""n_estimators"": 120}",1e-06,0.04756168602878388,0.04321591269358449,0.030624293846895478,0.026378132719209333,0.02378084301439194,0.0396285328708334,0.054269567616828183,0.7377442090778166,0.021196584119290606,0.03057754342624926,0.5029608885192405,0.014765497785198579,0.020677816413103497,0.5385061738330938,0.019532757282245163,0.028724894471097186,0.5770535258650407,0.03242162733274305,0.028826960361047895,0.044305971810613735,0.040355852617323024,,,,,
annual,rolling_validation_fold,train_2017_18_to_2018_19__validate_2019_20,2017/18,2018/19,2019/20,Gradient Boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 10, ""n_estimators"": 180}",1e-06,0.03555303009303072,0.03427013101884979,0.01970743723509742,0.01910799041913111,0.01777651504651536,0.025994302725949624,0.03718624959546905,0.867091884147779,0.016322475898518384,0.023139655659943085,0.7912087664940735,0.013859262448514069,0.019141381236853328,0.503673695909505,0.014930019113079365,0.020044265980418464,0.6732263899106004,0.022016794925267893,0.017398079544926948,0.0314540072874035,0.025604703572772176,,,,,
annual,rolling_validation_fold,train_2017_18_to_2019_20__validate_2020_21,2017/18,2019/20,2020/21,Gradient Boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 10, ""n_estimators"": 180}",1e-06,0.03200015222668164,0.031090740109685547,0.01982331653290587,0.01868439565685866,0.01600007611334082,0.02138123791695516,0.03155147047564813,0.8894941568726322,0.01726113364179715,0.024547693346939663,0.6581002013751036,0.013956498398009753,0.020589449262960368,0.49092457664958644,0.011401434496601238,0.017889289095327457,0.7520421092381127,0.019965120916592187,0.01968151214921954,0.027796858475992635,0.02656698428162421,,,,,
annual,rolling_validation_fold,train_2017_18_to_2020_21__validate_2021_22,2017/18,2020/21,2021/22,Gradient Boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 10, ""n_estimators"": 180}",1e-06,0.04894659472825769,0.046349561474345304,0.03190118132067456,0.028043133673237196,0.024473297364128847,0.04164312167641474,0.056897869955548956,0.7117267260113338,0.020202097648699607,0.030318929869317328,0.5113328806326288,0.015301785959753247,0.021283010743133823,0.511097032116923,0.020746184171647798,0.02974756903779837,0.5464016278370163,0.033490650891644394,0.03031171174970472,0.04551206861021774,0.04202603951341437,,,,,
annual,rolling_validation_fold,train_2017_18_to_2018_19__validate_2019_20,2017/18,2018/19,2019/20,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_samples_leaf"": 10, ""n_estimators"": 120}",1e-06,0.03628322015828444,0.03500704744045363,0.02099240637953527,0.019929718363791305,0.01814161007914222,0.02738443695688895,0.0393164406926408,0.8514286292876648,0.016225030005720273,0.02387670225197291,0.7776960581739862,0.014224648332622809,0.019877686202878664,0.4647552615189028,0.014732325021336853,0.02078449336576282,0.6486454778288789,0.023217740678090015,0.018767072080980524,0.0322309980576636,0.02685990699781746,,,,,
annual,rolling_validation_fold,train_2017_18_to_2019_20__validate_2020_21,2017/18,2019/20,2020/21,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_samples_leaf"": 10, ""n_estimators"": 120}",1e-06,0.033609334781004425,0.032038440225987425,0.020626399635298737,0.019355297346204378,0.016804667390502213,0.022340861921845305,0.03251720432923404,0.8826258572880579,0.017715881880689302,0.026092615206694963,0.6137106937628083,0.014682503980375359,0.02142906383794677,0.44855898069061584,0.012479421779098875,0.019416163966270984,0.7079086941531204,0.020585840624469325,0.020666958646128154,0.030111185732490272,0.027199559444480555,,,,,
annual,rolling_validation_fold,train_2017_18_to_2020_21__validate_2021_22,2017/18,2020/21,2021/22,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_samples_leaf"": 10, ""n_estimators"": 120}",1e-06,0.05145231489295714,0.0497564854094942,0.033144309905692275,0.029804891619791284,0.02572615744647857,0.0429963345821987,0.06216035175548109,0.6559359551338135,0.022779769646533474,0.03453643761031698,0.36592525133750065,0.016222785118852397,0.022456051988842967,0.45571877283076656,0.02090574043832972,0.02980700192186565,0.5445873222793234,0.035963195933351996,0.03032542387803256,0.0502252460773829,0.04235408271668232,,,,,
annual,rolling_validation_mean,mean_of_3_folds,2017/18,varies_by_fold,"2019/20, 2020/21, 2021/22",Gradient Boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 10, ""n_estimators"": 180}",1e-06,0.03883325901599002,0.03723681086762688,0.02381064502955928,0.021945173249742322,0.01941662950799501,,,,,,,,,,,,,,,,,3.0,4.0,3.5,0.13885280293769464,False
annual,rolling_validation_mean,mean_of_3_folds,2017/18,varies_by_fold,"2019/20, 2020/21, 2021/22",Gradient Boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 5, ""n_estimators"": 120}",1e-06,0.038875215413271984,0.03648946653594659,0.02375050812117792,0.02162862506901886,0.019437607706635992,,,,,,,,,,,,,,,,,4.0,3.0,3.5,0.13792239856696387,False
annual,rolling_validation_mean,mean_of_3_folds,2017/18,varies_by_fold,"2019/20, 2020/21, 2021/22",Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_samples_leaf"": 10, ""n_estimators"": 120}",1e-06,0.040448289944082,0.038933991025311754,0.02492103864017543,0.02302996910992899,0.020224144972041,,,,,,,,,,,,,,,,,5.0,5.0,5.0,0.10303867370577324,False
annual,rolling_validation_mean,mean_of_3_folds,2017/18,varies_by_fold,"2019/20, 2020/21, 2021/22",Naive,{},1e-06,0.04509479813493531,0.04239617968790107,0.025533291045990097,0.02413543776791961,0.022547399067467656,,,,,,,,,,,,,,,,,6.0,6.0,6.0,0.0,False
annual,rolling_validation_mean,mean_of_3_folds,2017/18,varies_by_fold,"2019/20, 2020/21, 2021/22",Random Forest,"{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 250}",1e-06,0.036475021894059545,0.03390999905303555,0.022999193164223646,0.020484223393304545,0.018237510947029772,,,,,,,,,,,,,,,,,1.0,2.0,1.5,0.1911479061306176,True
annual,rolling_validation_mean,mean_of_3_folds,2017/18,varies_by_fold,"2019/20, 2020/21, 2021/22",Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 10, ""n_estimators"": 250}",1e-06,0.036529070135693155,0.03430450573701286,0.022821836174020203,0.020570949391926673,0.018264535067846577,,,,,,,,,,,,,,,,,2.0,1.0,1.5,0.1899493589839626,False
annual,rolling_validation_mean,mean_of_3_folds,2017/18,varies_by_fold,"2019/20, 2020/21, 2021/22",Ridge,"{""alpha"": 0.1}",1e-06,0.06865228517400744,0.05222852728625963,0.0427862242533113,0.031209355238420795,0.03432614258700372,,,,,,,,,,,,,,,,,8.0,7.0,7.5,-0.5223992126227515,False
annual,rolling_validation_mean,mean_of_3_folds,2017/18,varies_by_fold,"2019/20, 2020/21, 2021/22",Ridge,"{""alpha"": 1.0}",1e-06,0.06863954083661374,0.0522080780247137,0.04281614356245261,0.031212370558891703,0.03431977041830687,,,,,,,,,,,,,,,,,7.0,8.0,7.5,-0.5221166004829749,False
annual,rolling_validation_mean,mean_of_3_folds,2017/18,varies_by_fold,"2019/20, 2020/21, 2021/22",Ridge,"{""alpha"": 10.0}",1e-06,0.06866831165690876,0.052143752188792504,0.04314022084128443,0.031268093699624085,0.03433415582845438,,,,,,,,,,,,,,,,,9.0,9.0,9.0,-0.5227546080023553,False
annual,rolling_validation_mean,mean_of_3_folds,2017/18,varies_by_fold,"2019/20, 2020/21, 2021/22",Ridge,"{""alpha"": 100.0}",1e-06,0.07360873322064153,0.05531962348683517,0.04771965029791075,0.033887332445365015,0.036804366610320764,,,,,,,,,,,,,,,,,10.0,10.0,10.0,-0.632310959689522,False
annual,final_test_2022_23,untouched_final_test,2017/18,2021/22,2022/23,Naive,{},1e-06,0.04523373391196532,0.04235442629378628,0.028422920020868745,0.025148975801627328,0.02261686695598266,0.03226777848556002,0.04647282269398648,0.8192321430366911,0.02486083012336428,0.032039568362923265,0.539911521694067,0.016506410698543268,0.022550059847879868,0.4221609886012401,0.016832448516463077,0.026169562527551614,0.6615582420493146,0.03276023347266836,0.024085606569069124,0.04482050723311643,0.034319099599680936,,,,0.0,
annual,final_test_2022_23,untouched_final_test,2017/18,2021/22,2022/23,Random Forest,"{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 250}",1e-06,0.037001317687653225,0.03391165703710202,0.023883856301292725,0.021286121442760153,0.018500658843826612,0.030033825937543373,0.039242367888732047,0.8711057583367001,0.017568649474384995,0.023926438490572854,0.7434191972145126,0.011562264666554021,0.01681430089444222,0.678730800621608,0.014837895296824057,0.02155725972392654,0.7703438260553979,0.026403837569550254,0.021363875033035197,0.034385815455926935,0.029562518070531042,,,,0.18199727310449687,
monthly,rolling_validation_fold,train_2017_18_to_2018_19__validate_2019_20,2017/18,2018/19,2019/20,Naive,{},1e-06,0.06568795916626763,0.05099603701337038,0.039882352378042496,0.030869202983165814,0.032843979583133814,0.043967305754200194,0.060837248248329576,0.6927678013260394,0.03636790872027389,0.05133498984567243,0.36892491550046613,0.021662008998389833,0.031611496506424544,0.1625913333346849,0.029378694859671355,0.04482693002962249,-0.2037681082441931,0.04465599704818717,0.035108707707897806,0.06241390537837677,0.0508340753733147,,,,,
monthly,rolling_validation_fold,train_2017_18_to_2019_20__validate_2020_21,2017/18,2019/20,2020/21,Naive,{},1e-06,0.06760370971620318,0.05307918859496376,0.041973415171735674,0.0327602260941744,0.03380185485810159,0.04842521610526915,0.0721876482453772,0.5071992316192186,0.03730352873784899,0.055118844491884596,-0.3083669186429454,0.022761215904170542,0.03459703412452318,-0.00211600231232123,0.02671745868511766,0.04162150884976634,0.058649370726645444,0.049445850044930205,0.03450098029854114,0.07252754392089902,0.05101771085410394,,,,,
monthly,rolling_validation_fold,train_2017_18_to_2020_21__validate_2021_22,2017/18,2020/21,2021/22,Naive,{},1e-06,0.06362164960071505,0.04978492496733579,0.039474633521049254,0.03033694318430328,0.031810824800357525,0.04769669882203973,0.0684609634195855,0.6164279694270463,0.029053238352204233,0.04188041558369107,0.27000189921841167,0.024828469734929616,0.03653738540173503,0.10360800956818617,0.02566489229225652,0.039749803608546457,0.28637621135108904,0.04177539805074044,0.03717386899135808,0.060141570229181596,0.054023935908780726,,,,,
monthly,rolling_validation_fold,train_2017_18_to_2018_19__validate_2019_20,2017/18,2018/19,2019/20,Ridge,"{""alpha"": 0.1}",1e-06,0.11960996843055464,0.0881319992867138,0.07890380802097315,0.0562379599643491,0.05980498421527732,0.11748567769890418,0.14459404869539424,-0.7355152785265857,0.06264778381654419,0.08100644224087614,-0.5714233077938828,0.019638379923936706,0.031552594906637824,0.16570910770800118,0.03944809542172417,0.055777820328893786,-0.8637511172268308,0.10208806973384718,0.05571954630809912,0.12666945745094432,0.07764970932628777,,,,,
monthly,rolling_validation_fold,train_2017_18_to_2019_20__validate_2020_21,2017/18,2019/20,2020/21,Ridge,"{""alpha"": 0.1}",1e-06,0.1560701321439934,0.09645878068150383,0.1149672299925555,0.06607704783715208,0.0780350660719967,0.1011471082505584,0.1587921838005603,-1.3845357187402487,0.056802952667271,0.07214078360204923,-1.241253890685094,0.021036503429607827,0.032140021706028844,0.13516633109370269,0.13315369994054957,0.1946024855876426,-19.578444470065474,0.09246489623138984,0.13746956375372116,0.14542875954952977,0.20545556689355382,,,,,
monthly,rolling_validation_fold,train_2017_18_to_2020_21__validate_2021_22,2017/18,2020/21,2021/22,Ridge,"{""alpha"": 0.1}",1e-06,0.051426717067854656,0.04266346301961816,0.03126692987894927,0.02543246369258798,0.025713358533927328,0.03909493657702745,0.0561991181945597,0.7415241803812394,0.026207221528118444,0.0388180039790817,0.372857597337649,0.019427104980752456,0.029935395754307474,0.3982819451576737,0.01812417104981098,0.02768949522883424,0.6537183950132908,0.033952301231003894,0.02858155852689466,0.05036334473596598,0.04251867454362052,,,,,
monthly,rolling_validation_fold,train_2017_18_to_2018_19__validate_2019_20,2017/18,2018/19,2019/20,Ridge,"{""alpha"": 1.0}",1e-06,0.11955425027662496,0.08810013581163782,0.07886968055845214,0.05621878241324093,0.05977712513831248,0.11742494842984144,0.14452386213084523,-0.7338308344888027,0.0626196862459107,0.08097482596035664,-0.5701969148465542,0.019623800479402355,0.03153054541258935,0.16687473383201845,0.03944006539809541,0.05576975350401179,-0.8632120690310716,0.10205190989861407,0.05568745121829021,0.12662783527134916,0.07761578086318628,,,,,
monthly,rolling_validation_fold,train_2017_18_to_2019_20__validate_2020_21,2017/18,2019/20,2020/21,Ridge,"{""alpha"": 1.0}",1e-06,0.15609281075642184,0.0964675003775709,0.11498848127595482,0.06608437103296536,0.07804640537821092,0.10117335065454261,0.1588345894069867,-1.3858094739411122,0.05679642594578519,0.07213382063004757,-1.2408212634198756,0.021040792989571303,0.03214774909176811,0.13475041931852205,0.1331750519229446,0.19463015279381335,-19.584296281639716,0.09248399092277122,0.13749297162913843,0.14544888527312608,0.20550329876646023,,,,,
