scope,geography_level,geography_name,geography_code,group_a_code,group_a,group_b_code,group_b,contrast,group_a_indoor_exposure_share,group_b_indoor_exposure_share,difference_a_minus_b,ci_95_low,ci_95_high,bootstrap_p_two_sided,bootstrap_repetitions,exposed_raw_n,group_a_exposed_raw_n,group_b_exposed_raw_n,group_a_effective_n,group_b_effective_n,minimum_group_exposed_raw_n,minimum_group_effective_n,low_group_raw_n_below_20,low_group_effective_n_below_20,estimable,p_fdr_bh,significant_95_ci,significant_fdr_05
latest_wave_2022_23,Borough,Barnet,E09000003,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.5908747463606954,1.0,-0.40912525363930463,-0.49719581346673497,-0.3172926103204209,0.003992015968063872,500,89,87,2,58.12754821646899,1.9354381039039377,2,1.9354381039039377,True,True,True,0.00922293344345791,True,True
latest_wave_2022_23,Borough,Barnet,E09000003,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,1.0,,,,,,500,89,2,0,1.9354381039039377,,0,1.9354381039039377,True,True,False,,False,False
latest_wave_2022_23,Borough,Bexley,E09000004,2,Active,0,Inactive,Active minus Inactive,0.4840838658187668,,,,,,500,58,54,0,35.41286401714602,,0,35.41286401714602,True,False,False,,False,False
latest_wave_2022_23,Borough,Bexley,E09000004,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.4840838658187668,1.0,-0.5159161341812333,-0.6405408419810953,-0.3953091052872177,0.003992015968063872,500,58,54,4,35.41286401714602,3.557913071915475,4,3.557913071915475,True,True,True,0.00922293344345791,True,True
latest_wave_2022_23,Borough,Bexley,E09000004,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,1.0,,,,,,500,58,4,0,3.557913071915475,,0,3.557913071915475,True,True,False,,False,False
latest_wave_2022_23,Borough,Brent,E09000005,2,Active,0,Inactive,Active minus Inactive,0.6102031645310566,,,,,,500,70,63,0,32.560982861023405,,0,32.560982861023405,True,False,False,,False,False
latest_wave_2022_23,Borough,Brent,E09000005,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.6102031645310566,1.0,-0.3897968354689434,-0.4876273540264141,-0.2858937977287897,0.003992015968063872,500,70,63,7,32.560982861023405,3.9933006210070108,7,3.9933006210070108,True,True,True,0.00922293344345791,True,True
latest_wave_2022_23,Borough,Brent,E09000005,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,1.0,,,,,,500,70,7,0,3.9933006210070108,,0,3.9933006210070108,True,True,False,,False,False
latest_wave_2022_23,Borough,Bromley,E09000006,2,Active,0,Inactive,Active minus Inactive,0.5592930024018217,1.0,-0.44070699759817833,-0.5215536551522211,-0.3605246531942589,0.003992015968063872,500,93,86,1,43.99524281642602,1.0,1,1.0,True,True,True,0.00922293344345791,True,True
latest_wave_2022_23,Borough,Bromley,E09000006,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.5592930024018217,1.0,-0.44070699759817833,-0.5215536551522211,-0.3605246531942589,0.003992015968063872,500,93,86,6,43.99524281642602,3.5668136076042356,6,3.5668136076042356,True,True,True,0.00922293344345791,True,True
latest_wave_2022_23,Borough,Bromley,E09000006,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,1.0,1.0,0.0,0.0,0.0,1.0,500,93,6,1,3.5668136076042356,1.0,1,1.0,True,True,True,1.0,False,False
latest_wave_2022_23,Borough,Camden,E09000007,2,Active,0,Inactive,Active minus Inactive,0.5794158978243601,,,,,,500,117,113,0,62.181795828538796,,0,62.181795828538796,True,False,False,,False,False
latest_wave_2022_23,Borough,Camden,E09000007,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.5794158978243601,0.9305802917830948,-0.35116439395873467,-0.4432333072393266,-0.05286593386706279,0.03592814371257485,500,117,113,4,62.181795828538796,3.326149872500214,4,3.326149872500214,True,True,True,0.06686626746506986,True,False
latest_wave_2022_23,Borough,Camden,E09000007,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.9305802917830948,,,,,,500,117,4,0,3.326149872500214,,0,3.326149872500214,True,True,False,,False,False
latest_wave_2022_23,Borough,Croydon,E09000008,2,Active,0,Inactive,Active minus Inactive,0.6140129777560801,,,,,,500,90,82,0,44.4118258562215,,0,44.4118258562215,True,False,False,,False,False
latest_wave_2022_23,Borough,Croydon,E09000008,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.6140129777560801,0.20822138110983898,0.4057915966462411,0.06741537975322907,0.6145159589684404,0.031936127744510975,500,90,82,8,44.4118258562215,5.554475682722592,8,5.554475682722592,True,True,True,0.06113487311092101,True,False
latest_wave_2022_23,Borough,Croydon,E09000008,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.20822138110983898,,,,,,500,90,8,0,5.554475682722592,,0,5.554475682722592,True,True,False,,False,False
latest_wave_2022_23,Borough,Ealing,E09000009,2,Active,0,Inactive,Active minus Inactive,0.47498988277994,0.0,0.47498988277994,0.38928501210790506,0.5639205303730603,0.003992015968063872,500,91,84,1,43.21140340542444,1.0,1,1.0,True,True,True,0.00922293344345791,True,True
latest_wave_2022_23,Borough,Ealing,E09000009,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.47498988277994,0.7850687111939615,-0.3100788284140215,-0.5090238862648239,0.034075599083397426,0.07984031936127745,500,91,84,6,43.21140340542444,4.307324237391167,6,4.307324237391167,True,True,True,0.14077108940014707,False,False
latest_wave_2022_23,Borough,Ealing,E09000009,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.7850687111939615,0.0,0.7850687111939615,0.4426836199112281,0.967566355978392,0.003992015968063872,500,91,6,1,4.307324237391167,1.0,1,1.0,True,True,True,0.00922293344345791,True,True
latest_wave_2022_23,Borough,Enfield,E09000010,2,Active,0,Inactive,Active minus Inactive,0.5614736201042453,1.0,-0.4385263798957547,-0.5369822802025476,-0.33005662307361283,0.003992015968063872,500,65,61,1,39.03347745959213,1.0,1,1.0,True,True,True,0.00922293344345791,True,True
