year,LA_2023,age_group,activity_suffix,months12_rate,second_activity_suffix,second_months12_rate,ranking_margin,top_two_tied,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
9,147,16-24,ACTTRAV_C03,0.8131966214853303,WALKTRAV_B02,0.8131966214853303,0.0,True,8,1,35.0,28,0.125,False,False,False
9,147,25-34,ACTTRAV_C03,0.8503755169238151,WALKTRAV_B02,0.8101335473497391,0.040241969574076,False,8,0,115.0,97,0.0,False,False,False
9,147,35-44,ACTTRAV_C03,0.7951767967171915,WALKTRAV_B02,0.7424112141899148,0.0527655825272767,False,8,0,120.5,98,0.0,False,False,False
9,147,45-54,ACTTRAV_C03,0.6188854135413729,WALKTRAV_B02,0.5978115908313623,0.02107382271001068,False,8,0,87.5,83,0.0,False,False,False
9,147,55-64,ACTTRAV_C03,0.6869529204198553,WALKTRAV_B02,0.671563719678127,0.015389200741728337,False,8,0,69.0,51,0.0,False,False,False
9,147,65-74,ACTTRAV_C03,0.696829533144308,WALKTRAV_B02,0.696829533144308,0.0,True,8,1,46.0,27,0.125,False,False,False
9,147,75-84,GARD_B08,0.7269756187535149,ACTTRAV_C03,0.5055880998285016,0.2213875189250133,False,8,8,20.5,14,1.0,True,False,True
9,147,85+,GARD_B08,0.4725236336794815,ACTTRAV_C03,0.4355051836114739,0.037018450068007636,False,8,8,5.5,1,1.0,True,False,True
9,160,16-24,ACTTRAV_C03,0.8953347811304663,WALKTRAV_B02,0.8244536126865032,0.07088116844396308,False,8,1,33.5,29,0.125,False,False,False
9,160,25-34,ACTTRAV_C03,0.8629131097751537,WALKTRAV_B02,0.8566962700110783,0.006216839764075388,False,8,0,89.5,74,0.0,False,False,False
9,160,35-44,ACTTRAV_C03,0.729223603660019,WALKTRAV_B02,0.7166515113593014,0.012572092300717652,False,8,0,119.5,100,0.0,False,False,False
9,160,45-54,ACTTRAV_C03,0.6683759689844261,WALKTRAV_B02,0.6683759689844261,0.0,True,8,0,91.0,72,0.0,False,False,False
9,160,55-64,ACTTRAV_C03,0.6811730812640527,WALKTRAV_B02,0.6622008230183949,0.018972258245657847,False,8,0,79.5,62,0.0,False,False,False
9,160,65-74,GARD_B08,0.7100320622455037,ACTTRAV_C03,0.5340097407139729,0.17602232153153086,False,8,0,58.0,41,0.0,False,False,False
9,160,75-84,GARD_B08,0.5520229408795319,ACTTRAV_C03,0.4203374861371369,0.13168545474239496,False,8,5,26.5,22,0.625,True,False,True
9,160,85+,GARD_B08,0.6414044645011328,ACTTRAV_C03,0.5368671663070237,0.10453729819410906,False,8,8,6.0,2,1.0,True,False,True
9,17,16-24,ACTTRAV_C03,0.8283296344645392,WALKTRAV_B02,0.8009937663705622,0.027335868093977034,False,8,3,31.0,25,0.375,False,False,False
9,17,25-34,ACTTRAV_C03,0.7421884860150063,WALKTRAV_B02,0.7257569558957632,0.016431530119243143,False,8,0,68.0,56,0.0,False,False,False
9,17,35-44,ACTTRAV_C03,0.7078117814862722,WALKTRAV_B02,0.7078117814862722,0.0,True,8,0,98.0,88,0.0,False,False,False
9,17,45-54,ACTTRAV_C03,0.6572691203868739,WALKTRAV_B02,0.6572691203868739,0.0,True,8,0,91.0,80,0.0,False,False,False
9,17,55-64,GARD_B08,0.6992623636234688,ACTTRAV_C03,0.5615358392994336,0.1377265243240352,False,8,0,82.5,75,0.0,False,False,False
9,17,65-74,GARD_B08,0.813890553357478,ACTTRAV_C03,0.466810306767446,0.34708024659003195,False,8,0,73.0,66,0.0,False,False,False
9,17,75-84,GARD_B08,0.6855777126282531,ACTTRAV_C03,0.4857889057315646,0.1997888068966885,False,8,2,34.0,22,0.25,False,False,False
9,17,85+,DRIVINGRANGE_U10,0.6982217923429156,EQUESTDRESSAGE_U15,0.6982217923429156,0.0,True,7,7,2.0,1,1.0,True,True,True
9,171,16-24,ACTTRAV_C03,0.6808903993032394,WALKTRAV_B02,0.6753345228855849,0.005555876417654426,False,8,0,62.5,44,0.0,False,False,False
9,171,25-34,ACTTRAV_C03,0.717455142955443,WALKTRAV_B02,0.7095971940884104,0.007857948867032616,False,8,0,139.5,133,0.0,False,False,False
9,171,35-44,ACTTRAV_C03,0.6767282468603042,WALKTRAV_B02,0.655424106121493,0.02130414073881115,False,8,0,115.0,100,0.0,False,False,False
9,171,45-54,ACTTRAV_C03,0.7852061309344259,WALKTRAV_B02,0.7642075705738016,0.020998560360624308,False,8,0,72.0,49,0.0,False,False,False
9,171,55-64,ACTTRAV_C03,0.4892067675403437,WALKTRAV_B02,0.4892067675403437,0.0,True,8,0,51.5,40,0.0,False,False,False
9,171,65-74,GARD_B08,0.7139363110095024,ACTTRAV_C03,0.5557796381954115,0.15815667281409085,False,8,3,30.5,24,0.375,False,False,False
9,171,75-84,ACTTRAV_C03,0.5798658806545876,WALKTRAV_B02,0.5798658806545876,0.0,True,8,8,15.0,8,1.0,True,False,True
9,171,85+,ACTTRAV_C03,0.6134642284824814,WALKTRAV_B02,0.6134642284824814,0.0,True,8,8,3.5,2,1.0,True,False,True
9,196,16-24,ACTTRAV_C03,0.8315570746657902,WALKTRAV_B02,0.8315570746657902,0.0,True,8,0,43.5,35,0.0,False,False,False
9,196,25-34,ACTTRAV_C03,0.7298773366541581,WALKTRAV_B02,0.7204984862961546,0.009378850358003454,False,8,0,81.0,68,0.0,False,False,False
9,196,35-44,ACTTRAV_C03,0.6384160829237235,WALKTRAV_B02,0.6262657432253232,0.012150339698400292,False,8,0,111.5,99,0.0,False,False,False
9,196,45-54,ACTTRAV_C03,0.6031121724319429,WALKTRAV_B02,0.5753634663969658,0.027748706034977144,False,8,0,87.5,74,0.0,False,False,False
9,196,55-64,ACTTRAV_C03,0.7065084771053403,GARD_B08,0.7028910966595325,0.0036173804458077274,False,8,0,69.5,60,0.0,False,False,False
9,196,65-74,GARD_B08,0.703198168418703,ACTTRAV_C03,0.6770091515599727,0.02618901685873032,False,8,0,76.5,56,0.0,False,False,False
9,196,75-84,GARD_B08,0.6706781050973976,ACTTRAV_C03,0.472684483752804,0.19799362134459358,False,8,3,30.5,22,0.375,False,False,False
9,196,85+,GARD_B08,0.6034753586593422,ACTTRAV_C03,0.1052980289122015,0.4981773297471407,False,8,8,9.5,8,1.0,True,False,True
9,201,16-24,ACTTRAV_C03,1.0,WALKTRAV_B02,0.8673871889258541,0.1326128110741459,False,8,6,26.0,15,0.75,True,False,True
9,201,25-34,ACTTRAV_C03,0.8815521439664871,WALKTRAV_B02,0.8815521439664871,0.0,True,8,0,48.5,44,0.0,False,False,False
9,201,35-44,ACTTRAV_C03,0.8085112692524036,WALKTRAV_B02,0.742166800801075,0.06634446845132858,False,8,0,94.5,70,0.0,False,False,False
