task,origin,horizon,forecast_year,model,observations,total_variation,overall_mae,overall_rmse,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2,months12_rate_mae,months12_rate_rmse,months12_rate_r2,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2
age_activity_level,4,3,7,Naive baseline,31744,0.00918342119787914,0.006122280798586091,0.02552611097366058,,,,,,,,,,3703,0.03727496874765472,27935,0.0012174748708016713,8605,0.27107484879032256,0.007808793944902089,23139,0.009688324479051703,,,,,,,,,,0.008075709169224595,0.03083829760757096,0.6968761258652681,0.004853388432665231,0.020267405221081385,0.22925691934964132,0.005437744793868453,0.02435115419421165,0.5950820819834788,,,,,,,,,,,,
age_activity_level,4,4,8,Naive baseline,31744,0.009444537140757958,0.006296358093838638,0.025996718212065575,,,,,,,,,,3829,0.03706019107512476,27862,0.0011925000981943754,7861,0.2476373487903226,0.008426638945137394,23883,0.009777315648960668,,,,,,,,,,0.008415982974414971,0.03179691532550981,0.704660444773395,0.004946951098128544,0.019940821803025952,0.2870009757421269,0.005526140208972402,0.02487584923163329,0.6283660311923129,,,,,,,,,,,,
age_activity_level,5,1,6,Naive baseline,31744,0.007724628289420348,0.0051497521929468985,0.021620486753146963,,,,,,,,,,3088,0.03802403181867401,28656,0.001155791125732839,7739,0.24379410282258066,0.0059295604827054975,24005,0.008303342297175657,,,,,,,,,,0.006661516075754422,0.02554112689625376,0.7348225261861048,0.004045472334138895,0.017317333883413888,0.3680988867747731,0.004742268168947378,0.021215492602549634,0.5651051460967984,,,,,,,,,,,,
age_activity_level,5,2,7,Naive baseline,31744,0.008857146987315743,0.005904764658210495,0.024149429616443036,,,,,,,,,,3703,0.03895278248812145,27935,0.0009859908638965023,8605,0.27107484879032256,0.006592481101651816,23139,0.009688963200732818,,,,,,,,,,0.00784562988575819,0.029352740668973247,0.7253771515309568,0.004438933753944963,0.018454481685474696,0.36097619455345287,0.0054297303349283305,0.02339729841966998,0.6261827637148125,,,,,,,,,,,,
age_activity_level,5,3,8,Naive baseline,31744,0.009435857847557013,0.006290571898371341,0.02643646193884363,,,,,,,,,,3829,0.04088759973293799,27862,0.0009277547431639378,7861,0.2476373487903226,0.00786621759138422,23883,0.009949015789197392,,,,,,,,,,0.008456749649845583,0.032441404086038496,0.692566690108088,0.004659145085644161,0.019046493228642568,0.3495215941031813,0.005755820959624285,0.02610451984138802,0.5907478307159151,,,,,,,,,,,,
age_activity_level,6,1,7,Naive baseline,31744,0.008984805715954716,0.0059898704773031445,0.024257455718128453,,,,,,,,,,3703,0.03931453785325476,27935,0.0010203533826169849,8605,0.27107484879032256,0.007083265017639753,23139,0.009683245337156102,,,,,,,,,,0.007888687562315831,0.029207905081957943,0.7280806149233959,0.0045785120416016985,0.01922078816638912,0.3068045271657869,0.005502411827991903,0.023296610413041204,0.6293932133988085,,,,,,,,,,,,
age_activity_level,6,2,8,Naive baseline,31744,0.00948929694028365,0.006326197960189102,0.026182847244801764,,,,,,,,,,3829,0.041070608614438564,27862,0.0009732641723854813,7861,0.2476373487903226,0.008306092751541967,23883,0.00987611845791942,,,,,,,,,,0.008476694385703417,0.0317693906020583,0.7051715397044094,0.004683956017040856,0.019518284445620423,0.31689712041997997,0.005817943477823027,0.025814082641216818,0.5998037972047474,,,,,,,,,,,,
age_activity_level,7,1,8,Naive baseline,31638,0.009492384834226287,0.006328256556150859,0.025179517575243757,,,,,,,,,,3828,0.03786037612433149,27757,0.0013257455541721421,7755,0.2451166318983501,0.008648167037471134,23883,0.00976463561807288,,,,,,,,,,0.008347999214744288,0.03025322867918091,0.73319112428387,0.004883145658675926,0.020013294530245813,0.2840745871783016,0.005753624795032361,0.024212280200279494,0.648235853930955,,,,,,,,,,,,
disability_activity_level,4,1,5,Naive baseline,62992,0.011077345053998357,0.007384896702665568,0.04661364531488322,,,,,,,,,,3600,0.08162734231803358,58648,0.0020828723689658353,43772,0.6948818897637795,0.012264547502955109,19220,0.008419543442462908,0.009923969472356367,0.05524237280110634,0.04162040717071158,0.005547538348016173,0.039103269663225214,-0.5615412507036812,0.006683182287624167,0.04401943136359078,-0.20786802210587174,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,4,2,6,Naive baseline,62992,0.011029254605372697,0.0073528364035818,0.04635150966641361,,,,,,,,,,3558,0.08631518518165693,58637,0.002046158080803222,44475,0.7060420370840742,0.011776427394761795,18517,0.009266819378557493,0.010092640967504066,0.05608431213541109,0.007555240431496024,0.005098917519543379,0.035911733721071884,-0.7181226533246612,0.006866950723697948,0.044836198082704455,-0.10164057425611728,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,4,3,7,Naive baseline,62992,0.011214339958070052,0.0074762266387133685,0.04569501140523948,,,,,,,,,,4176,0.07684795982232664,58162,0.0018133262661491991,43814,0.6955486410972822,0.011998863122457933,19178,0.009448774217378596,0.010031810509091158,0.0539068837281506,0.1934640684293849,0.005557000266078664,0.03770220101094437,-0.6057169259561237,0.006839869140970287,0.044007887107027695,-0.0028689847384486544,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,4,4,8,Naive baseline,62992,0.010741049101510258,0.007160699401006838,0.043937866358175995,,,,,,,,,,4159,0.07010432327269066,58568,0.0017861720616990963,43160,0.6851663703327406,0.011562727024032151,19832,0.008963826709085056,0.009737407758289735,0.05265467180523627,0.13551413854378458,0.00542880723971997,0.03592481359609055,-0.711570241497417,0.00631588320501081,0.041575252320290336,-0.010115478156435431,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,5,1,6,Naive baseline,62620,0.010689764764505068,0.0071265098430033785,0.04585512339510062,,,,,,,,,,3546,0.08196428682337012,58277,0.001983043067295197,44103,0.7042957521558607,0.011841299667577711,18517,0.007996651921578892,0.00956238474308956,0.05456144887805951,0.06563394592613736,0.005246593989155086,0.03689141737343797,-0.7847712744776763,0.006570550796765486,0.044386356521406524,-0.08301411932849745,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,5,2,7,Naive baseline,62620,0.011195028030510156,0.007463352020340105,0.04464225003745097,,,,,,,,,,4159,0.07405501385829674,57789,0.0017839620302147192,43442,0.6937400191632066,0.011991547844001143,19178,0.00941866175545491,0.010088679001151523,0.05321796928261611,0.19152351383936572,0.005665356778330491,0.0380979047189025,-0.6593176648314545,0.006636020281538301,0.04117267135713723,0.0799024498724824,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,5,3,8,Naive baseline,62620,0.011053823785030118,0.007369215856686745,0.044160781878215566,,,,,,,,,,4159,0.07354588734474872,58196,0.0017914556727089406,42788,0.6832960715426382,0.01193632157219515,19832,0.009161606489567296,0.009942793752670277,0.05259786476165322,0.12829933109154557,0.005587467885295024,0.036315866758149205,-0.7876435646490447,0.006577385932094931,0.042013645550049446,-0.04504229596732223,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,6,1,7,Naive baseline,62691,0.011349457050302447,0.0075663047002016304,0.04572069736854548,,,,,,,,,,4161,0.07680848887478524,57805,0.00214262428728921,43513,0.6940868705236797,0.012265406805173911,19178,0.009305883262032542,0.010288106592404646,0.05473631357837377,0.14946553109642713,0.005254390777497374,0.03495763885746194,-0.4784495558034674,0.007156416730702874,0.045310550261054766,-0.07895268585408854,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,6,2,8,Naive baseline,62691,0.011149134976980132,0.007432756651320087,0.04398085819612902,,,,,,,,,,4159,0.07317779462716535,58161,0.002221357305336069,42859,0.6836547510806974,0.012019291110847199,19832,0.009284915845488401,0.01010879459176209,0.052930940112035495,0.12342217931708599,0.0052327550462477265,0.033060077778364894,-0.45600183163616204,0.006956720315950448,0.04368403025304101,-0.11692081703994806,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,7,1,8,Naive baseline,62710,0.011371788264842062,0.007581192176561376,0.044176158964007325,,,,,,,,,,4157,0.06810587844572615,58235,0.002502980697211419,42878,0.6837505979907511,0.01250345532973523,19832,0.008943200614486413,0.010288468808860704,0.052887811504588725,0.12650863881500474,0.005581194116499302,0.03510663885285382,-0.6334939364906016,0.00687391360432412,0.04272004640856703,-0.06941046855899713,,,,,,,,,,,,,,,,,,,,,
age_months12,4,1,5,Naive baseline,31744,,,,,,,,,,,,,10641,0.041204449139136956,21103,0.0048402067341770695,6944,0.21875,0.015975989794730017,24800,0.01732508680912459,,,,,,,,,,,,,,,,,,,0.017029971837225776,0.04649773945932716,0.8100780352663128,,,,,,,,,
age_months12,4,2,6,Naive baseline,31744,,,,,,,,,,,,,9021,0.048478266249886125,22723,0.006072999668491105,7739,0.24379410282258066,0.0142485904164821,24005,0.01937302104037455,,,,,,,,,,,,,,,,,,,0.018123715073946133,0.049303038040660746,0.7359504965012074,,,,,,,,,
age_months12,4,3,7,Naive baseline,31744,,,,,,,,,,,,,10311,0.04418287304470863,21327,0.004934190364788587,8605,0.27107484879032256,0.014806794397024457,23139,0.018797620307425822,,,,,,,,,,,,,,,,,,,0.017725554139763476,0.047817879375797116,0.7803321864040925,,,,,,,,,
