task,origin,horizon,forecast_year,selected_model,observations,total_variation,overall_mae,overall_rmse,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,months12_rate_mae,months12_rate_rmse,months12_rate_r2,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2
age_overall_level,4,3,7,Gradient Boosting,256,0.1088247161581587,0.0725498107721058,0.1051288424275594,,,,,,,,,,251,0.0828112112416169,5,0.2928951499188523,57,0.22265625,0.197799700657061,199,0.0833394190906339,,,,,,,0.0795233762297781,0.1198108545298277,0.5253514253409315,0.0512116429176326,0.0723085296738093,-0.0414481199991487,0.0869144131689066,0.1165034600504214,0.5736325636749942,,,,,,,,,,,,,,,
age_overall_level,4,4,8,Gradient Boosting,256,0.1114637352759245,0.0743091568506163,0.1114700451195556,,,,,,,,,,252,0.0877684392425272,4,0.2780824380182357,51,0.19921875,0.2192532923619987,205,0.0846477966837792,,,,,,,0.0886600284809398,0.129432163590108,0.3982352665680367,0.0435253465975114,0.0592458570727238,-0.0190371630323349,0.0907420954733977,0.1304375571872198,0.4527995913299218,,,,,,,,,,,,,,,
age_overall_level,5,1,6,Gradient Boosting,256,0.1090446046067443,0.0726964030711628,0.1021392545844245,,,,,,,,,,249,0.0822636737300185,7,0.2810443807504652,56,0.21875,0.2051415643015537,200,0.0821374558921976,,,,,,,0.0827508106994137,0.116259349133185,0.575135872432808,0.047639314826466,0.0660707477017046,-0.0409103289402972,0.0876990836876088,0.1158261715608849,0.5750515692410711,,,,,,,,,,,,,,,
age_overall_level,5,2,7,Gradient Boosting,256,0.1057996989110383,0.0705331326073589,0.1025927971993705,,,,,,,,,,251,0.0775157665092362,5,0.2841504263945795,57,0.22265625,0.1994074294704312,199,0.0789874343789509,,,,,,,0.0774364634185244,0.1172208502360833,0.5456509923148976,0.0526113346934303,0.0721746118008684,-0.0375940970394075,0.0815515997101218,0.1123652250160038,0.6033839980205993,,,,,,,,,,,,,,,
age_overall_level,5,3,8,Gradient Boosting,256,0.1109240975507951,0.0739493983671968,0.1118649593246003,,,,,,,,,,252,0.0867806898031956,4,0.2744354568559481,51,0.19921875,0.2209958145054277,205,0.0835404021133012,,,,,,,0.0888010909275909,0.1307314328422168,0.3860933289098668,0.0433343086356045,0.0591881902101399,-0.0170543720087053,0.0897127955383948,0.1301820186537016,0.4549415176682749,,,,,,,,,,,,,,,
age_overall_level,6,1,7,Gradient Boosting,256,0.1052227184208836,0.0701484789472557,0.1028985932205891,,,,,,,,,,251,0.0780964010292477,5,0.3065031931634738,57,0.22265625,0.2048176788012001,199,0.0766955187139587,,,,,,,0.0763313337208172,0.1170729050598245,0.5467971420875493,0.0515566319328306,0.0709758911808527,-0.0034143036359477,0.0825574711881193,0.1141083661799864,0.5909830037654085,,,,,,,,,,,,,,,
age_overall_level,6,2,8,Gradient Boosting,256,0.1071184671792893,0.0714123114528595,0.1080268081259798,,,,,,,,,,252,0.0833762985942461,4,0.2667602725399463,51,0.19921875,0.2176294575322256,205,0.0796254890914857,,,,,,,0.084702949361393,0.1254146240570531,0.4350127182031695,0.043292311810038,0.0589079405640123,-0.0074458897803624,0.0862416731871476,0.1257394147942347,0.4915081822934248,,,,,,,,,,,,,,,
age_overall_level,7,1,8,Gradient Boosting,256,0.1082903694634355,0.0721935796422903,0.1093999998648137,,,,,,,,,,252,0.0857369487691431,4,0.2853062182090347,51,0.19921875,0.2245963660493108,205,0.079355706898169,,,,,,,0.0853016288183714,0.1260857332880771,0.4289499058142978,0.0424238915043582,0.0589365320428632,-0.0084240722732413,0.0888552186041414,0.1285844195975242,0.468237390198611,,,,,,,,,,,,,,,
age_overall_level,4,1,5,Gradient Boosting,256,0.1230262960368537,0.0820175306912358,0.1207462140078725,,,,,,,,,,249,0.088178324309881,7,0.3411367602855418,56,0.21875,0.2380516944242846,200,0.0908191844883731,,,,,,,0.0939314749087219,0.1351212890274231,0.5003046823759951,0.057025960621395,0.0956082392796614,-0.0060862163943617,0.0950951565435904,0.1278289733398318,0.5560199692609229,,,,,,,,,,,,,,,
age_overall_level,4,2,6,Gradient Boosting,256,0.112733569696457,0.0751557131309713,0.1045381482483407,,,,,,,,,,249,0.0849302992372795,7,0.2719685280712154,56,0.21875,0.1997859817643698,200,0.0883588943174414,,,,,,,0.0871138117106413,0.1183791767886196,0.5595010063864476,0.0483087018753152,0.0662825057584563,-0.0475932978263835,0.0900446258069575,0.1199069357910757,0.5445806952561192,,,,,,,,,,,,,,,
