task,origin,horizon,forecast_year,selected_model,observations,total_variation,overall_mae,overall_rmse,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2,months12_rate_mae,months12_rate_rmse,months12_rate_r2,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2
disability_months12,5,2,7,Ridge Regression,62620,,,,,,,,,,,,,11787,0.0724157844701375,50161,0.009831303150244669,43442,0.6937400191632066,0.023828753716687263,19178,0.01707983378904052,,,,,,,,,,,,,,,,,,,,,,0.021739408033656187,0.06437357569690837,0.5765084972407586,,,,,,
disability_months12,5,3,8,Ridge Regression,62620,,,,,,,,,,,,,12157,0.07427685143800601,50198,0.00998143100873903,42788,0.6832960715426382,0.02471784148979403,19832,0.017797235933743917,,,,,,,,,,,,,,,,,,,,,,0.02251674375284293,0.06505710189674163,0.5698421338716424,,,,,,
age_days10p60gr,4,1,5,Naive baseline,31744,,,,,,,,,,,,,4748,0.04798364344327331,26996,0.0022411029297633913,6944,0.21875,0.00915135364398035,24800,0.009063715889385269,,,,,,,,,,,,,,,,,,,,,,,,,0.009082886648202943,0.03736015281453786,0.578966300816863,,,
age_days10p60gr,4,2,6,Naive baseline,31744,,,,,,,,,,,,,4583,0.04867024175433659,27161,0.002292678199312941,7739,0.24379410282258066,0.008632837217084044,24005,0.009103004511920431,,,,,,,,,,,,,,,,,,,,,,,,,0.008988380498099276,0.036040983954086614,0.6148940011354411,,,
age_days10p60gr,4,3,7,Naive baseline,31744,,,,,,,,,,,,,5503,0.04104582755580463,26135,0.0020029767394723467,8605,0.27107484879032256,0.008573143358727001,23139,0.008875052539862649,,,,,,,,,,,,,,,,,,,,,,,,,0.008793949874382156,0.03359501524124241,0.7309926950698544,,,
age_days10p60gr,4,4,8,Naive baseline,31744,,,,,,,,,,,,,5717,0.04373229686141032,25974,0.0017531388164713163,7861,0.2476373487903226,0.010214432174038876,23883,0.009035685732982171,,,,,,,,,,,,,,,,,,,,,,,,,0.009326104218096896,0.03510904398153906,0.728863753984891,,,
age_days10p60gr,5,1,6,Gradient Boosting,31744,,,,,,,,,,,,,4583,0.03725574085516321,27161,0.0025487702447803263,7739,0.24379410282258066,0.008037486515913192,24005,0.00740546139600247,,,,,,,,,,,,,,,,,,,,,,,,,0.007559545393072437,0.025533207389594064,0.8067151783227158,,,
age_days10p60gr,5,2,7,Gradient Boosting,31744,,,,,,,,,,,,,5503,0.0386923477930287,26135,0.0027226195710876653,8605,0.27107484879032256,0.008878021663100224,23139,0.009016178152933327,,,,,,,,,,,,,,,,,,,,,,,,,0.008979064807997126,0.027796433769647404,0.815841169110503,,,
age_days10p60gr,5,3,8,Gradient Boosting,31744,,,,,,,,,,,,,5717,0.040453394660465464,25974,0.0032883849129439107,7861,0.2476373487903226,0.010684376663496215,23883,0.00976681966311216,,,,,,,,,,,,,,,,,,,,,,,,,0.009992886529383302,0.03069272305517578,0.792785371006691,,,
disability_days10p60gr,4,1,5,Gradient Boosting,62992,,,,,,,,,,,,,5492,0.0746066700118172,56756,0.003040575145550201,43772,0.6948818897637795,0.01033451488067507,19220,0.007161145077006258,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009354689542888886,0.04459328121704266,0.4732793936166485
disability_days10p60gr,4,2,6,Gradient Boosting,62992,,,,,,,,,,,,,5316,0.07889399663122434,56879,0.0033509442225180294,44475,0.7060420370840742,0.010553595698442997,18517,0.008048760037133357,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009807843757925743,0.04655797890607954,0.4295028455020603
disability_days10p60gr,4,3,7,Gradient Boosting,62992,,,,,,,,,,,,,6275,0.07101353770664176,56063,0.0024971185833138677,43814,0.6955486410972822,0.00983529900165775,19178,0.008401001320990396,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00939404389370051,0.0425116112020884,0.5671448058030997
disability_days10p60gr,4,4,8,Gradient Boosting,62992,,,,,,,,,,,,,6312,0.0667516562909018,56415,0.0025461341677525747,43160,0.6851663703327406,0.009517538401746998,19832,0.007902470947912271,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009006912710346957,0.04048185188931164,0.5770380806752706
disability_days10p60gr,5,1,6,Gradient Boosting,62620,,,,,,,,,,,,,5304,0.07396577745907047,56519,0.002917840882898575,44103,0.7042957521558607,0.009953767371096631,18517,0.006813743194402095,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00901327875553523,0.044862141095756036,0.4731788269933548
disability_days10p60gr,5,2,7,Gradient Boosting,62620,,,,,,,,,,,,,6249,0.06881826083086029,55699,0.0027268407969284502,43442,0.6937400191632066,0.009998926378829215,19178,0.008044297437565868,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009393807991866787,0.04272821807190189,0.5524265747730154
disability_days10p60gr,5,3,8,Gradient Boosting,62620,,,,,,,,,,,,,6302,0.06561287602948408,56053,0.0025536075924453383,42788,0.6832960715426382,0.009510704277341889,19832,0.007674769722253838,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00892678552028141,0.040156673503126336,0.5804946500226879
