year,age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,n,n_frequent,weighted_n,weighted_frequent,sum_weight_squared,n_not_frequent,frequent_volunteer_rate,effective_n,small_cell,few_frequent_cases
5,4.0,35-44,2,active,1740,211,2383.723475509003,282.7058565641536,6021.9680163647145,1529,0.11859842782468157,943.5682142866743,False,False
5,5.0,45-54,0,inactive,397,31,746.2774499935857,39.50475613360338,2964.1469154826723,366,0.05293574947754742,187.88880856745254,False,False
5,5.0,45-54,1,fairly_active,226,27,335.3724101639792,39.37276004926309,949.1399034801599,199,0.11740011657492014,118.50165933050711,False,False
5,5.0,45-54,2,active,1376,249,1875.9028924319616,333.0775022597361,4994.068586013943,1127,0.17755583383526166,704.6382325804876,False,False
5,6.0,55-64,0,inactive,348,25,540.8290540837178,42.809885090386324,1433.0754682810566,323,0.07915603787765359,204.10374206735372,False,False
5,6.0,55-64,1,fairly_active,163,19,234.4175686654083,23.68438910824092,737.5723891155438,144,0.10103504290690092,74.50332646656736,False,False
5,6.0,55-64,2,active,1105,142,1520.6523215004345,192.61502040040418,4651.352451910369,963,0.12666604829850261,497.1421767737544,False,False
5,7.0,65-74,0,inactive,263,16,359.8937326248716,12.587257948591215,733.6480583988015,247,0.03497492956264205,176.54718403446694,False,False
5,7.0,65-74,1,fairly_active,129,9,162.28648449537658,12.405020267889984,303.8620210232321,120,0.07643902267316287,86.67388889595547,False,False
5,7.0,65-74,2,active,749,116,1056.7415577585657,165.00056644171636,2912.5183974616707,633,0.1561408891609183,383.41482095606096,False,False
5,8.0,75-84,0,inactive,138,11,354.16580404575325,24.966132814266548,1580.8529874854316,127,0.07049278199382929,79.3454026075469,False,False
5,8.0,75-84,1,fairly_active,51,4,148.99998333016632,19.02051726291563,626.0315403911051,47,0.12765449255634087,35.46306152325817,False,True
5,8.0,75-84,2,active,225,35,613.636509447378,83.1057070317694,3230.6739932628684,190,0.13543149038933786,116.55455379032529,False,False
5,9.0,85+,0,inactive,42,5,98.72640896307806,12.967961515161388,300.97585568143836,37,0.13135250893214578,32.38433795520577,False,False
5,9.0,85+,1,fairly_active,2,0,7.193007407095305,0.0,34.09169025909591,2,0.0,1.5176529871446747,True,True
5,9.0,85+,2,active,18,3,43.82014446997145,7.054960399077531,128.95867293357966,15,0.16099810907542925,14.890080811844069,True,True
6,2.0,16-24,0,inactive,293,32,639.5006376885739,67.45919421428735,2103.393856879488,261,0.10548729780491455,194.42914329454737,False,False
6,2.0,16-24,1,fairly_active,132,10,271.3270528123748,22.07840884988958,803.4719687598541,122,0.0813719406931273,91.62531170997538,False,False
6,2.0,16-24,2,active,728,104,1592.4505810788394,228.3267144127431,5249.24152800786,624,0.14338072221874434,483.09814658894766,False,False
6,3.0,25-34,0,inactive,548,26,902.1166678345838,41.78944278872142,2622.3227724119065,522,0.04632376751117088,310.34108041416243,False,False
6,3.0,25-34,1,fairly_active,284,18,448.1122928509038,42.68508521821853,1373.378715960033,266,0.0952553319763998,146.21212974290614,False,False
6,3.0,25-34,2,active,1814,120,2879.843109644621,197.37571921296035,7430.498755326752,1694,0.06853696944529626,1116.1426183164604,False,False
6,4.0,35-44,0,inactive,628,26,950.5211936310369,42.964856627224364,2374.49300157512,602,0.04520136627684916,380.4982954013512,False,False
6,4.0,35-44,1,fairly_active,314,18,431.571919144767,33.62602013571863,1050.521372072987,296,0.07791521793715009,177.2970320696692,False,False
6,4.0,35-44,2,active,1771,162,2515.979839313661,235.2410296402807,5785.28327935834,1609,0.09349877370418537,1094.1822977655277,False,False
6,5.0,45-54,0,inactive,482,23,790.6741376040745,34.492850775426334,2151.1802653500367,459,0.043624609855012646,290.61515761638,False,False
6,5.0,45-54,1,fairly_active,210,14,281.60813989563957,15.519771773403592,609.8367257662558,196,0.05511123286121994,130.03996168948046,False,False
6,5.0,45-54,2,active,1451,173,1948.2155437136541,220.63200548944138,4462.368391665101,1278,0.11324825233088764,850.56711405918,False,False
6,6.0,55-64,0,inactive,337,21,544.9219844491708,37.94502750071569,1571.3503512869868,316,0.0696338716065421,188.97120485754112,False,False
6,6.0,55-64,1,fairly_active,164,11,276.4193819955388,9.877684370364001,864.1404373144883,153,0.035734413046779115,88.42043659043398,False,False
6,6.0,55-64,2,active,1139,125,1550.320721448076,155.40065275645395,3824.643851811076,1014,0.10023774474955226,628.42304603425,False,False
6,7.0,65-74,0,inactive,259,7,371.6766636713443,10.428942173979658,825.2301165429394,252,0.028059179371028437,167.40002521548,False,False
6,7.0,65-74,1,fairly_active,112,7,148.08560186882937,7.22060896793008,278.9555886926453,105,0.048759696262205963,78.61231812428504,False,False
6,7.0,65-74,2,active,766,97,1118.4321257776498,128.95141878910272,2518.0842639837247,669,0.11529659763612596,496.76273263093543,False,False
6,8.0,75-84,0,inactive,140,7,402.1063173903049,15.26881410570789,1683.7603992477996,133,0.037972082121970736,96.02879991560886,False,False
6,8.0,75-84,1,fairly_active,47,2,123.72294973585561,2.5473855764392845,464.6621357686648,45,0.0205894345542025,32.94300764580037,False,True
6,8.0,75-84,2,active,232,36,605.6704646472001,95.83746761186924,2263.0196719778924,196,0.15823368185485825,162.1005403922706,False,False
6,9.0,85+,0,inactive,49,3,120.94631248249321,9.626618617434334,400.7409667779861,46,0.07959414735217968,36.50240857760104,False,True
6,9.0,85+,1,fairly_active,7,0,17.252829233222997,0.0,76.85307309790373,7,0.0,3.8731062344320635,True,True
6,9.0,85+,2,active,23,0,44.377191724736704,0.0,120.11698498833879,23,0.0,16.39514299801337,True,True
7,2.0,16-24,0,inactive,268,30,595.0757406272337,65.01013244923075,1938.6473375699977,238,0.10924682021267992,182.66093591159145,False,False
7,2.0,16-24,1,fairly_active,107,11,258.79159216634065,36.287662208489444,1015.3176585839451,96,0.14021963350789704,65.96269414775705,False,False
7,2.0,16-24,2,active,728,122,1696.0746417499406,279.5361105241423,6022.727908399906,606,0.16481356636269756,477.63558874627154,False,False
7,3.0,25-34,0,inactive,500,30,830.900506688183,39.813714143966436,2322.7089865098455,470,0.04791634356158549,297.2372587459108,False,False
7,3.0,25-34,1,fairly_active,274,15,442.101987303745,20.516900648627182,1177.1114898374528,259,0.04640761914180472,166.0455860514206,False,False
7,3.0,25-34,2,active,1879,180,3082.5771317769654,337.3211583084793,8418.107667286897,1699,0.10942829453679526,1128.7907150772792,False,False
7,4.0,35-44,0,inactive,623,36,909.1988793281089,44.37436213615535,2343.9522205123876,587,0.04880600179462129,352.67041492457776,False,False
7,4.0,35-44,1,fairly_active,306,27,438.1674225453622,40.447490237187694,940.7465933779415,279,0.09231058302377623,204.08332225861636,False,False
7,4.0,35-44,2,active,1887,226,2627.229327614542,339.9467687192424,6134.022899473729,1661,0.1293936411055161,1125.2540221964523,False,False
7,5.0,45-54,0,inactive,415,34,704.4156419539727,38.88167387890474,1997.3487982495133,381,0.05519706202299993,248.43001736316705,False,False
7,5.0,45-54,1,fairly_active,218,19,299.36770810117713,24.020302764071754,659.7013586336421,199,0.08023678611306209,135.85090204963734,False,False
7,5.0,45-54,2,active,1484,232,2089.487762434566,370.0819994673592,4820.943019691844,1252,0.17711613636643572,905.6234623662658,False,False
7,6.0,55-64,0,inactive,383,23,588.3447216324835,30.355078790613042,1555.2591680199694,360,0.05159403607189104,222.5670927331643,False,False
7,6.0,55-64,1,fairly_active,151,16,226.86377883957877,28.915269176743575,572.7099821210543,135,0.12745652622312312,89.86603299415626,False,False
7,6.0,55-64,2,active,1205,160,1635.4529993842025,243.03101730423117,3923.410573489976,1045,0.1486016518944535,681.7299548682113,False,False
7,7.0,65-74,0,inactive,270,13,378.2083230824294,24.090144324039453,798.5985015164435,257,0.06369543675745358,179.1157075516726,False,False
7,7.0,65-74,1,fairly_active,122,8,175.5805710359554,15.622250654440185,396.92454760163287,114,0.08897482541642412,77.6685068020856,False,False
7,7.0,65-74,2,active,742,90,1111.5388836781624,149.77096796873516,2600.562178990073,652,0.1347419961352429,475.09676942556644,False,False
7,8.0,75-84,0,inactive,129,10,351.0177101654248,23.209701216026858,1335.6451497851892,119,0.06612116865866619,92.2501256187652,False,False
7,8.0,75-84,1,fairly_active,55,3,150.20705069903354,5.615518591103575,596.2263007198499,52,0.0373851864141535,37.841601506779824,False,True
7,8.0,75-84,2,active,240,39,583.7082714557284,99.34432158114075,1929.9344819484327,201,0.1701951581624547,176.5424419081073,False,False
7,9.0,85+,0,inactive,58,1,135.26707728576363,1.821893594972163,434.0474858165448,57,0.013468861984230295,42.1547936466248,False,True
7,9.0,85+,1,fairly_active,9,0,22.837735022520782,0.0,114.36148234588929,9,0.0,4.560645160067041,True,True
7,9.0,85+,2,active,28,2,72.44660088757894,3.4338694900600943,288.6308736531725,26,0.047398628065224185,18.18415997476043,True,True
8,2.0,16-24,0,inactive,270,36,550.2014521822966,61.89079184927626,1619.066673896801,234,0.11248751089949899,186.97292882627977,False,False
8,2.0,16-24,1,fairly_active,115,20,210.1610460655404,27.722122671981772,619.1375111881991,95,0.1319089488322037,71.33740806400044,False,False
8,2.0,16-24,2,active,848,166,1764.8970682043084,341.3741932595845,5609.794283235691,682,0.1934244208399729,555.2541687071513,False,False
8,3.0,25-34,0,inactive,461,46,841.6008356810466,99.01877384304059,2799.968385779354,415,0.1176552703431097,252.96427281691874,False,False
8,3.0,25-34,1,fairly_active,233,19,394.63858422254054,43.3027891673823,1069.876899276627,214,0.10972771264292656,145.56778659532796,False,False
8,3.0,25-34,2,active,1775,197,3031.0748134317814,356.355805933336,8656.032820670245,1578,0.11756747288262084,1061.3885962494674,False,False
8,4.0,35-44,0,inactive,628,46,928.8590340474477,77.75558997852423,2364.2121659343998,582,0.08371086152837304,364.93302824645787,False,False
8,4.0,35-44,1,fairly_active,295,25,369.40120596646875,38.304930759292276,721.7946739857996,270,0.10369465540610413,189.05272633276053,False,False
8,4.0,35-44,2,active,1970,269,2591.4195292435843,374.22794334019363,5517.692648909559,1701,0.14441040484457102,1217.0767028627793,False,False
8,5.0,45-54,0,inactive,490,36,734.4389371315406,53.37452695926881,1797.9324284794475,454,0.07267387969343087,300.011582098828,False,False
8,5.0,45-54,1,fairly_active,233,23,324.1144388701429,27.987835850914763,776.393810561203,210,0.0863517094408995,135.30526397186742,False,False
