year,LA_2023,age_group_code,age_group,inactive,fairly_active,active,active_inactive_gap,fairly_inactive_gap
3,136,4,35-44,0.0,0.0,0.0705040275486734,0.0705040275486734,0.0
3,136,5,45-54,0.0,0.0,0.1657045384167221,0.1657045384167221,0.0
3,136,6,55-64,0.0,0.1628039108912561,0.1463262062031498,0.1463262062031498,0.1628039108912561
3,136,7,65-74,0.0,0.0,0.0782462038526118,0.0782462038526118,0.0
3,136,8,75-84,0.0957681344333555,0.0,0.0751748426992787,-0.0205932917340768,-0.0957681344333555
3,136,9,85+,0.0,0.0,0.0,0.0,0.0
3,139,2,16-24,0.0,0.0,0.353755629708339,0.353755629708339,0.0
3,139,3,25-34,0.0,0.0,0.1054709461016812,0.1054709461016812,0.0
3,139,4,35-44,0.4911589974442378,0.0912174634430167,0.1912029489328892,-0.2999560485113486,-0.3999415340012211
3,139,5,45-54,0.0,0.2162450684254793,0.480841863389142,0.480841863389142,0.2162450684254793
