LA_2023,age_group_code,age_group,observed_years,complete_historical_period,historical_slope,year3_rate,year8_rate,year3_year8_change,slope_pp_per_year,year3_year8_change_pp,borough_name
114,2,16-24,6,True,0.03956106650078647,0.0714911842399413,0.2948982486889035,0.22340706444896222,3.9561066500786466,22.34070644489622,Haringey
114,3,25-34,6,True,0.007338863441851988,0.0919204787009672,0.1028483577200946,0.010927879019127396,0.7338863441851988,1.0927879019127396,Haringey
114,4,35-44,6,True,0.0207793894409521,0.0423719644775028,0.2136147467942589,0.1712427823167561,2.07793894409521,17.12427823167561,Haringey
114,5,45-54,6,True,-0.018135374792958667,0.2224677423088711,0.1780346218589068,-0.04443312044996428,-1.8135374792958667,-4.4433120449964285,Haringey
114,6,55-64,6,True,0.006838710480533252,0.0802940310871074,0.0694691139045843,-0.010824917182523111,0.6838710480533252,-1.082491718252311,Haringey
114,7,65-74,6,True,-0.018122446003867903,0.2134872509075996,0.0457667051904853,-0.1677205457171143,-1.8122446003867902,-16.772054571711433,Haringey
114,8,75-84,6,True,0.00468546416763078,0.0995284016604891,0.1682705246338149,0.0687421229733258,0.468546416763078,6.87421229733258,Haringey
114,9,85+,6,True,0.0,0.0,0.0,0.0,0.0,0.0,Haringey
117,2,16-24,6,True,0.054784238433207996,0.0129151702582212,0.4203709770680243,0.4074558068098031,5.478423843320799,40.74558068098031,Harrow
117,3,25-34,6,True,-0.006102878236435677,0.2280434496893071,0.1543324705532756,-0.0737109791360315,-0.6102878236435677,-7.37109791360315,Harrow
117,4,35-44,6,True,0.014534448648768416,0.1351682582414589,0.2185199229122329,0.08335166467077401,1.4534448648768417,8.335166467077402,Harrow
117,5,45-54,6,True,0.0034899978915340787,0.1363683379370615,0.1084854084311771,-0.02788292950588439,0.34899978915340785,-2.7882929505884393,Harrow
117,6,55-64,6,True,0.023573473404774718,0.0349864213297044,0.1430798972872334,0.108093475957529,2.357347340477472,10.8093475957529,Harrow
117,7,65-74,6,True,-0.00017299572474842794,0.1781989968705049,0.1122886513018232,-0.0659103455686817,-0.017299572474842796,-6.59103455686817,Harrow
117,8,75-84,6,True,0.006421327069664886,0.0413852501986672,0.0779386456522035,0.0365533954535363,0.6421327069664886,3.65533954535363,Harrow
117,9,85+,6,True,-0.024917409419181327,0.0,0.0,0.0,-2.4917409419181324,0.0,Harrow
122,2,16-24,6,True,0.015811486874684894,0.2384719314048432,0.3088608067401731,0.07038887533532986,1.5811486874684895,7.038887533532987,Havering
122,3,25-34,6,True,-0.0036504293270867906,0.1767349078405477,0.1442301087459172,-0.0325047990946305,-0.36504293270867905,-3.25047990946305,Havering
122,4,35-44,6,True,-0.024928340668707444,0.2106505795029541,0.0791386868878573,-0.1315118926150968,-2.4928340668707443,-13.15118926150968,Havering
122,5,45-54,6,True,4.4631966322744363e-05,0.091204276281781,0.1158792440070687,0.024674967725287697,0.004463196632274436,2.4674967725287695,Havering
122,6,55-64,6,True,-0.017713267057063917,0.0817022785284016,0.0569546562253774,-0.024747622303024207,-1.7713267057063917,-2.474762230302421,Havering
122,7,65-74,6,True,-0.003453236459462539,0.1091224356853039,0.0706687377129613,-0.038453697972342604,-0.34532364594625387,-3.8453697972342606,Havering
122,8,75-84,6,True,-0.003979452946117835,0.0907886423732303,0.0,-0.0907886423732303,-0.39794529461178346,-9.07886423732303,Havering
122,9,85+,6,True,-0.004281357222798272,0.0,0.0597454556181791,0.0597454556181791,-0.4281357222798272,5.97454556181791,Havering
126,2,16-24,6,True,0.013705552709433848,0.0,0.2083077469092099,0.2083077469092099,1.3705552709433848,20.83077469092099,Hillingdon
126,3,25-34,6,True,0.0006213179638373043,0.1304368996531707,0.1289908975060883,-0.0014460021470824036,0.062131796383730425,-0.14460021470824036,Hillingdon
126,4,35-44,6,True,0.01967628145182283,0.0688286770395437,0.1890814068594321,0.12025272981988838,1.967628145182283,12.025272981988838,Hillingdon
126,5,45-54,6,True,-0.019975297700675798,0.1553677597298049,0.0832523963953507,-0.0721153633344542,-1.9975297700675798,-7.21153633344542,Hillingdon
126,6,55-64,6,True,-0.022133874827077765,0.1937163292301507,0.0329659353536502,-0.1607503938765005,-2.2133874827077764,-16.07503938765005,Hillingdon
126,7,65-74,6,True,-0.0059346956890648965,0.0509230692762133,0.0446104376346828,-0.0063126316415304945,-0.5934695689064896,-0.6312631641530495,Hillingdon
126,8,75-84,6,True,-0.0037605820864744207,0.1434475796607897,0.1290739177744028,-0.01437366188638689,-0.37605820864744205,-1.437366188638689,Hillingdon
126,9,85+,6,True,0.0,0.0,0.0,0.0,0.0,0.0,Hillingdon
129,2,16-24,6,True,-0.008612501408204494,0.0835324187670497,0.2038231836162495,0.12029076484919979,-0.8612501408204495,12.02907648491998,Hounslow
129,3,25-34,6,True,0.033647644647021246,0.1572767297981568,0.3626871920377716,0.20541046223961482,3.364764464702125,20.54104622396148,Hounslow
129,4,35-44,6,True,0.02142407675129299,0.0190656327600009,0.1693291010444767,0.15026346828447582,2.142407675129299,15.026346828447581,Hounslow
129,5,45-54,6,True,0.01536272071983914,0.0955893356530407,0.2107794356419741,0.1151900999889334,1.536272071983914,11.51900999889334,Hounslow
129,6,55-64,6,True,-0.019630126173179413,0.1674643125340806,0.1583262841767176,-0.009138028357362993,-1.9630126173179412,-0.9138028357362993,Hounslow
129,7,65-74,6,True,0.002738333813115378,0.0,0.0453793739367163,0.0453793739367163,0.2738333813115378,4.53793739367163,Hounslow
129,8,75-84,6,True,0.015225026636373835,0.0,0.0446931913421307,0.0446931913421307,1.5225026636373835,4.46931913421307,Hounslow
129,9,85+,6,True,-0.04110037956020155,0.2083196848510528,0.0,-0.2083196848510528,-4.110037956020155,-20.83196848510528,Hounslow
135,2,16-24,6,True,0.025911148013029395,0.0372973659297642,0.2465278382607494,0.20923047233098518,2.5911148013029397,20.92304723309852,Islington
135,3,25-34,6,True,-0.005734945283109612,0.0511545687852679,0.101955094353257,0.050800525567989106,-0.5734945283109613,5.08005255679891,Islington
135,4,35-44,6,True,-0.01928855668106032,0.1392849365058107,0.0281520798809513,-0.11113285662485939,-1.928855668106032,-11.11328566248594,Islington
135,5,45-54,6,True,0.02620471953103254,0.0982068118280757,0.1799828139945925,0.08177600216651681,2.620471953103254,8.177600216651681,Islington
135,6,55-64,6,True,0.0011278920462139722,0.0730904401703027,0.0243647187736236,-0.04872572139667909,0.11278920462139723,-4.872572139667909,Islington
135,7,65-74,6,True,0.0011625936790953955,0.0,0.0514010004029078,0.0514010004029078,0.11625936790953956,5.14010004029078,Islington
135,8,75-84,6,True,-0.008554458684711089,0.100153658810965,0.0,-0.100153658810965,-0.8554458684711089,-10.0153658810965,Islington
135,9,85+,6,True,0.0,0.0,0.0,0.0,0.0,0.0,Islington
