LA_2023,disability_group,activity,predicted_participation
196,disty1,ACTTRAV_C03,0.6545728486193154
196,disty10,ACTTRAV_C03,0.730409304894496
196,disty11,ACTTRAV_C03,0.6917921480564304
196,disty12,ACTTRAV_C03,0.7050627061558764
196,disty13,ACTTRAV_C03,0.5564510121869082
196,disty2,ACTTRAV_C03,0.6798265852368401
196,disty3,ACTTRAV_C03,0.6385297186222885
196,disty4,ACTTRAV_C03,0.7114592945805944
196,disty5,ACTTRAV_C03,0.6983802629339424
196,disty6,ACTTRAV_C03,0.6871459889173693
196,disty7,ACTTRAV_C03,0.6504249743513061
196,disty8,ACTTRAV_C03,0.6274629264481336
196,disty9,ACTTRAV_C03,0.5784339062174475
196,limiting_disability,ACTTRAV_C03,0.671664951892354
196,no_disability,ACTTRAV_C03,0.689756256017694
196,non_limiting_disability,ACTTRAV_C03,0.710481978399983
201,disty1,ACTTRAV_C03,0.6520729977494265
201,disty11,ACTTRAV_C03,0.6710134066185277
201,disty12,ACTTRAV_C03,0.7199600159769826
201,disty13,ACTTRAV_C03,0.7676288960476816
201,disty2,ACTTRAV_C03,0.6451894609005704
201,disty3,ACTTRAV_C03,0.6503315279336863
201,disty4,ACTTRAV_C03,0.6635410501436338
201,disty5,ACTTRAV_C03,0.7083801468015629
201,disty6,ACTTRAV_C03,0.679139054598414
201,disty7,ACTTRAV_C03,0.6205056674167335
201,disty8,ACTTRAV_C03,0.7047430061860745
201,disty9,ACTTRAV_C03,0.6314955809137215
201,limiting_disability,ACTTRAV_C03,0.6782904977789295
201,no_disability,ACTTRAV_C03,0.728923528733588
201,non_limiting_disability,ACTTRAV_C03,0.7122204539952905
241,disty1,ACTTRAV_C03,0.6961533823313789
241,disty10,ACTTRAV_C03,0.7820683624403677
241,disty11,ACTTRAV_C03,0.6650226886026787
241,disty12,ACTTRAV_C03,0.7192988742625833
241,disty13,ACTTRAV_C03,0.7749619171973786
241,disty2,ACTTRAV_C03,0.7182153316630684
241,disty3,ACTTRAV_C03,0.6676176653090399
241,disty4,ACTTRAV_C03,0.6829771601510382
241,disty5,ACTTRAV_C03,0.7343640425782947
241,disty6,ACTTRAV_C03,0.7237230936474142
241,disty7,ACTTRAV_C03,0.7183210667894055
241,disty8,ACTTRAV_C03,0.7469866782447991
241,disty9,ACTTRAV_C03,0.6879143195008054
241,limiting_disability,ACTTRAV_C03,0.7107489711148691
241,no_disability,ACTTRAV_C03,0.739262715441579
241,non_limiting_disability,ACTTRAV_C03,0.7374197670412188
255,disty1,ACTTRAV_C03,0.6540521288102702
255,disty10,ACTTRAV_C03,0.6276548991138368
255,disty11,ACTTRAV_C03,0.6140187538375677
255,disty12,ACTTRAV_C03,0.7254619667342197
255,disty13,ACTTRAV_C03,0.6780912211917369
255,disty2,ACTTRAV_C03,0.6272281220478535
255,disty3,ACTTRAV_C03,0.6197166455634234
255,disty4,ACTTRAV_C03,0.5956712491674745
255,disty5,ACTTRAV_C03,0.6925766618751303
255,disty6,ACTTRAV_C03,0.619646552607935
255,disty7,ACTTRAV_C03,0.63202390726358
255,disty8,ACTTRAV_C03,0.6412073252150252
255,disty9,ACTTRAV_C03,0.6286702375516794
255,limiting_disability,ACTTRAV_C03,0.6561898030735509
255,no_disability,ACTTRAV_C03,0.6916378015278373
255,non_limiting_disability,ACTTRAV_C03,0.676556357849416
272,disty1,ACTTRAV_C03,0.6893976103490916
272,disty10,ACTTRAV_C03,0.6899093666053073
272,disty11,ACTTRAV_C03,0.7758422257160754
272,disty12,ACTTRAV_C03,0.7510626809737273
272,disty13,ACTTRAV_C03,0.6617574343144907
272,disty2,ACTTRAV_C03,0.7065006094127946
272,disty3,ACTTRAV_C03,0.6784540934656207
272,disty4,ACTTRAV_C03,0.7509508948524471
272,disty5,ACTTRAV_C03,0.7204128502885048
272,disty6,ACTTRAV_C03,0.6929715438990087
272,disty7,ACTTRAV_C03,0.694892917314
272,disty8,ACTTRAV_C03,0.7203362936870834
272,disty9,ACTTRAV_C03,0.682269977937799
272,limiting_disability,ACTTRAV_C03,0.7055997675069781
272,no_disability,ACTTRAV_C03,0.7290185040199506
272,non_limiting_disability,ACTTRAV_C03,0.7491265531099178
279,disty1,ACTTRAV_C03,0.6662944156700364
279,disty10,ACTTRAV_C03,0.6690906820252984
279,disty11,ACTTRAV_C03,0.7080128171492844
279,disty12,ACTTRAV_C03,0.6987364289499775
279,disty13,ACTTRAV_C03,0.6427600635550972
279,disty2,ACTTRAV_C03,0.6611969936188278
279,disty3,ACTTRAV_C03,0.6708969269711689
279,disty4,ACTTRAV_C03,0.6802525328348212
279,disty5,ACTTRAV_C03,0.7024518074012304
279,disty6,ACTTRAV_C03,0.6528081348214729
279,disty7,ACTTRAV_C03,0.6595735893122009
279,disty8,ACTTRAV_C03,0.6233623041159834
279,disty9,ACTTRAV_C03,0.6420499165488047
279,limiting_disability,ACTTRAV_C03,0.6790402660689533
279,no_disability,ACTTRAV_C03,0.7271298219029144
279,non_limiting_disability,ACTTRAV_C03,0.7252689823444427
280,disty1,ACTTRAV_C03,0.7096851256626835
280,disty10,ACTTRAV_C03,0.7532457148674893
280,disty11,ACTTRAV_C03,0.7855386921812342
280,disty12,ACTTRAV_C03,0.7516025610083273
280,disty13,ACTTRAV_C03,0.7174159520237242
280,disty2,ACTTRAV_C03,0.7250252844720826
280,disty3,ACTTRAV_C03,0.6488515810749627
280,disty4,ACTTRAV_C03,0.63705443420723
280,disty5,ACTTRAV_C03,0.7521810108836572
280,disty6,ACTTRAV_C03,0.7223060811762945
280,disty7,ACTTRAV_C03,0.7169241677583759
280,disty8,ACTTRAV_C03,0.7251149460546922
280,disty9,ACTTRAV_C03,0.7050818344638733
280,limiting_disability,ACTTRAV_C03,0.7214073102807175
280,no_disability,ACTTRAV_C03,0.7513832840683062
280,non_limiting_disability,ACTTRAV_C03,0.7536475162331502
293,disty1,ACTTRAV_C03,0.6819959254142873
293,disty10,ACTTRAV_C03,0.7489748653668332
293,disty11,ACTTRAV_C03,0.7135887795841455
293,disty12,ACTTRAV_C03,0.7110974697243035
293,disty13,ACTTRAV_C03,0.7005305637071044
293,disty2,ACTTRAV_C03,0.7096221762686741
293,disty3,ACTTRAV_C03,0.6663670838613843
293,disty4,ACTTRAV_C03,0.6819205501209312
293,disty5,ACTTRAV_C03,0.704449667509742
293,disty6,ACTTRAV_C03,0.6787192151463626
293,disty7,ACTTRAV_C03,0.6840285024171052
293,disty8,ACTTRAV_C03,0.6876371689859534
293,disty9,ACTTRAV_C03,0.7253531761808218
293,limiting_disability,ACTTRAV_C03,0.6982521047502812
293,no_disability,ACTTRAV_C03,0.7267507336029745
293,non_limiting_disability,ACTTRAV_C03,0.7205124093952088
30,disty1,ACTTRAV_C03,0.6307766727171018
30,disty10,ACTTRAV_C03,0.6205322715799184
30,disty11,ACTTRAV_C03,0.6353067141512398
30,disty12,ACTTRAV_C03,0.7370402863029495
30,disty13,ACTTRAV_C03,0.7269263979109332
30,disty2,ACTTRAV_C03,0.639597676282108
30,disty3,ACTTRAV_C03,0.6232893822567556
30,disty4,ACTTRAV_C03,0.5965057883124579
30,disty5,ACTTRAV_C03,0.671024542790169
30,disty6,ACTTRAV_C03,0.5972315118963916
30,disty7,ACTTRAV_C03,0.6579776325144808
30,disty8,ACTTRAV_C03,0.5922056516643174
30,disty9,ACTTRAV_C03,0.6283455142616503
30,limiting_disability,ACTTRAV_C03,0.6700632970216799
30,no_disability,ACTTRAV_C03,0.6983396646371339
30,non_limiting_disability,ACTTRAV_C03,0.7228568578663532
35,disty1,ACTTRAV_C03,0.617376990643666
35,disty10,ACTTRAV_C03,0.6073671235225226
35,disty11,ACTTRAV_C03,0.7406343250914742
35,disty12,ACTTRAV_C03,0.6966735273253387
35,disty13,ACTTRAV_C03,0.7148025827376981
35,disty2,ACTTRAV_C03,0.6198326718637985
35,disty3,ACTTRAV_C03,0.6079978465743276
35,disty4,ACTTRAV_C03,0.6425736754383395
35,disty5,ACTTRAV_C03,0.7080530398886548
35,disty6,ACTTRAV_C03,0.6150425193603396
35,disty7,ACTTRAV_C03,0.7043165392962929
35,disty8,ACTTRAV_C03,0.6315025484366468
35,disty9,ACTTRAV_C03,0.6225547872626234
35,limiting_disability,ACTTRAV_C03,0.6520828906976869
35,no_disability,ACTTRAV_C03,0.7053901699794061
35,non_limiting_disability,ACTTRAV_C03,0.6868924844622579
44,disty1,ACTTRAV_C03,0.6800035218460508
44,disty10,ACTTRAV_C03,0.6263260558777353
44,disty11,ACTTRAV_C03,0.6417510111853453
44,disty12,ACTTRAV_C03,0.7449395730999906
44,disty13,ACTTRAV_C03,0.74951447256796
44,disty2,ACTTRAV_C03,0.6948174712242069
44,disty3,ACTTRAV_C03,0.6936062015865487
44,disty4,ACTTRAV_C03,0.7014280285840517
44,disty5,ACTTRAV_C03,0.7299617618021252
44,disty6,ACTTRAV_C03,0.6746334908828744
44,disty7,ACTTRAV_C03,0.6830803723827649
44,disty8,ACTTRAV_C03,0.7194494966187742
44,disty9,ACTTRAV_C03,0.6938093894731394
44,limiting_disability,ACTTRAV_C03,0.6964849657440797
44,no_disability,ACTTRAV_C03,0.7366298442118081
44,non_limiting_disability,ACTTRAV_C03,0.7320520181004605
68,disty1,ACTTRAV_C03,0.6975716437012128
68,disty10,ACTTRAV_C03,0.6429533504275338
68,disty11,ACTTRAV_C03,0.736266322921098
68,disty12,ACTTRAV_C03,0.7412501576245045
68,disty13,ACTTRAV_C03,0.6523934609230423
68,disty2,ACTTRAV_C03,0.6739194431163
68,disty3,ACTTRAV_C03,0.6588979720385555
68,disty4,ACTTRAV_C03,0.6619576468037061
68,disty5,ACTTRAV_C03,0.6949694018094434
68,disty6,ACTTRAV_C03,0.6995883391030361
68,disty7,ACTTRAV_C03,0.6884945070044508
68,disty8,ACTTRAV_C03,0.6758970822163222
68,disty9,ACTTRAV_C03,0.6216108819777918
68,limiting_disability,ACTTRAV_C03,0.6868640455834529
68,no_disability,ACTTRAV_C03,0.6908434745292465
68,non_limiting_disability,ACTTRAV_C03,0.712355160990924
78,disty1,ACTTRAV_C03,0.6478706328374214
78,disty10,ACTTRAV_C03,0.6643557865366133
78,disty11,ACTTRAV_C03,0.7723691973941362
78,disty12,ACTTRAV_C03,0.6570785443463563
78,disty13,ACTTRAV_C03,0.7377302441007563
78,disty2,ACTTRAV_C03,0.6588674679374021
78,disty3,ACTTRAV_C03,0.6292659325785114
78,disty4,ACTTRAV_C03,0.6584546715140907
78,disty5,ACTTRAV_C03,0.6839896951423063
78,disty6,ACTTRAV_C03,0.6444773559794139
78,disty7,ACTTRAV_C03,0.6731284575803494
78,disty8,ACTTRAV_C03,0.6315593924864016
78,disty9,ACTTRAV_C03,0.6333540501977605
78,limiting_disability,ACTTRAV_C03,0.6635378371190267
78,no_disability,ACTTRAV_C03,0.7080568600160655
78,non_limiting_disability,ACTTRAV_C03,0.7047894746709747
8,disty1,ACTTRAV_C03,0.6283645126798999
8,disty10,ACTTRAV_C03,0.6145277659987832
8,disty11,ACTTRAV_C03,0.6288713228713181
8,disty12,ACTTRAV_C03,0.6555122170421483
8,disty13,ACTTRAV_C03,0.674001183985541
8,disty2,ACTTRAV_C03,0.6417523890872425
8,disty3,ACTTRAV_C03,0.6091283203107423
8,disty4,ACTTRAV_C03,0.6076572050697736
8,disty5,ACTTRAV_C03,0.6333992081179001
8,disty6,ACTTRAV_C03,0.6163133669356432
8,disty7,ACTTRAV_C03,0.6425809483289893
8,disty8,ACTTRAV_C03,0.6247683332669871
8,disty9,ACTTRAV_C03,0.6147880127153522
8,limiting_disability,ACTTRAV_C03,0.6427894585343576
8,no_disability,ACTTRAV_C03,0.6896314613177806
8,non_limiting_disability,ACTTRAV_C03,0.6991271822548666
9,disty1,ACTTRAV_C03,0.6642890825111863
9,disty10,ACTTRAV_C03,0.6013735514208387
9,disty12,ACTTRAV_C03,0.7350012010920588
9,disty13,ACTTRAV_C03,0.6942079023495674
9,disty2,ACTTRAV_C03,0.6828391735896688
9,disty3,ACTTRAV_C03,0.6210928163239314
9,disty4,ACTTRAV_C03,0.6385040054126063
9,disty5,ACTTRAV_C03,0.735216624868259
9,disty6,ACTTRAV_C03,0.6805152088227777
9,disty7,ACTTRAV_C03,0.6940139655608611
9,disty8,ACTTRAV_C03,0.7214903933756845
9,disty9,ACTTRAV_C03,0.6630180524135768
9,limiting_disability,ACTTRAV_C03,0.6898570123901541
9,no_disability,ACTTRAV_C03,0.6882914049349629
9,non_limiting_disability,ACTTRAV_C03,0.7064776509607457
91,disty1,ACTTRAV_C03,0.6354289909945947
91,disty10,ACTTRAV_C03,0.7085644476564982
91,disty11,ACTTRAV_C03,0.6630574941061472
91,disty12,ACTTRAV_C03,0.7071560838246438
91,disty13,ACTTRAV_C03,0.6860844339876923
91,disty2,ACTTRAV_C03,0.6391120982857004
91,disty3,ACTTRAV_C03,0.6301067293366108
91,disty4,ACTTRAV_C03,0.6321534156837676
91,disty5,ACTTRAV_C03,0.6962550851538047
91,disty6,ACTTRAV_C03,0.6934214237862499
91,disty7,ACTTRAV_C03,0.6815758766818969
91,disty8,ACTTRAV_C03,0.6545620697157057
91,disty9,ACTTRAV_C03,0.5987568768233152
91,limiting_disability,ACTTRAV_C03,0.6563152623601253
91,no_disability,ACTTRAV_C03,0.6940784527695241
91,non_limiting_disability,ACTTRAV_C03,0.6762545441475077
