output_position,variable_name,section,variable_label,source_position,source_format,measurement_level,value_labels,notes
551,INOUTB_WHEELCHRUGBY_F05,Activity: INOUTB,Location: Wheelchair Rugby: Outdoors,5292,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
552,INOUTA_NETBALL_F06,Activity: INOUTA,Location: Netball: Indoors,5308,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
553,INOUTB_NETBALL_F06,Activity: INOUTB,Location: Netball: Outdoors,5309,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
554,INOUTA_BASKETBALL_F07,Activity: INOUTA,Location: Basketball: Indoors,5325,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
555,INOUTB_BASKETBALL_F07,Activity: INOUTB,Location: Basketball: Outdoors,5326,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
556,INOUTA_WHEELCHBASKETBALL_F08,Activity: INOUTA,Location: Wheelchair Basketball: Indoors,5342,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
557,INOUTB_WHEELCHBASKETBALL_F08,Activity: INOUTB,Location: Wheelchair Basketball: Outdoors,5343,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
558,INOUTA_HOCKEY_F09,Activity: INOUTA,Location: Hockey: Indoors,5359,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
559,INOUTB_HOCKEY_F09,Activity: INOUTB,Location: Hockey: Outdoors,5360,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
560,INOUTA_VOLLEYBALL_F10,Activity: INOUTA,Location: Volleyball: Indoors,5379,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
561,INOUTB_VOLLEYBALL_F10,Activity: INOUTB,Location: Volleyball: Outdoors,5380,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
562,INOUTA_ROUNDERS_F11,Activity: INOUTA,Location: Rounders: Indoors,5399,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
563,INOUTB_ROUNDERS_F11,Activity: INOUTB,Location: Rounders: Outdoors,5400,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
564,INOUTA_DODGEBALL_F12,Activity: INOUTA,Location: Dodgeball: Indoors,5419,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
565,INOUTB_DODGEBALL_F12,Activity: INOUTB,Location: Dodgeball: Outdoors,5420,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
566,INOUTA_BASESOFTBALL_F13,Activity: INOUTA,Location: Baseball or Softball: Indoors,5439,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
567,INOUTB_BASESOFTBALL_F13,Activity: INOUTB,Location: Baseball or Softball: Outdoors,5440,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
568,INOUTA_LACROSSE_F14,Activity: INOUTA,Location: Lacrosse: Indoors,5459,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
569,INOUTB_LACROSSE_F14,Activity: INOUTB,Location: Lacrosse: Outdoors,5460,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
570,INOUTA_GOALBALL_F15,Activity: INOUTA,Location: Goalball: Indoors,5479,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
571,INOUTB_GOALBALL_F15,Activity: INOUTB,Location: Goalball: Outdoors,5480,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
572,INOUTA_HANDBALL_F16,Activity: INOUTA,Location: Handball: Indoors,5496,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
573,INOUTB_HANDBALL_F16,Activity: INOUTB,Location: Handball: Outdoors,5497,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
574,INOUTA_TENNIS_G01,Activity: INOUTA,Location: Tennis: Indoors,5513,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
575,INOUTB_TENNIS_G01,Activity: INOUTB,Location: Tennis: Outdoors,5514,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
576,INOUTA_BADMINTON_G02,Activity: INOUTA,Location: Badminton: Indoors,5530,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
577,INOUTB_BADMINTON_G02,Activity: INOUTB,Location: Badminton: Outdoors,5531,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
578,INOUTA_TABLETENNIS_G03,Activity: INOUTA,Location: Table Tennis: Indoors,5547,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
579,INOUTB_TABLETENNIS_G03,Activity: INOUTB,Location: Table Tennis: Outdoors,5548,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
580,INOUTA_CAVING_H02,Activity: INOUTA,Location: Caving or pot holing: Indoors,5581,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
581,INOUTB_CAVING_H02,Activity: INOUTB,Location: Caving or pot holing: Outdoors,5582,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
582,INOUTA_ABSEILING_H03,Activity: INOUTA,Location: Abseiling: Indoors,5598,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
583,INOUTB_ABSEILING_H03,Activity: INOUTB,Location: Abseiling: Outdoors,5599,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
584,INOUTA_ORIENTEERING_H04,Activity: INOUTA,Location: Orienteering: Indoors,5615,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
585,INOUTB_ORIENTEERING_H04,Activity: INOUTB,Location: Orienteering: Outdoors,5616,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
586,INOUTA_PARKOUR_H05,Activity: INOUTA,Location: Parkour or free running: Indoors,5632,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
587,INOUTB_PARKOUR_H05,Activity: INOUTB,Location: Parkour or free running: Outdoors,5633,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
588,INOUTA_GLIDING_H08,Activity: INOUTA,"Location: Gliding, paragliding or handgliding: Indoors",5666,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
589,INOUTB_GLIDING_H08,Activity: INOUTB,"Location: Gliding, paragliding or handgliding: Outdoors",5667,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
590,INOUTA_WATERSKIING_H10,Activity: INOUTA,Location: Waterskiing: Indoors,5700,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
591,INOUTB_WATERSKIING_H10,Activity: INOUTB,Location: Waterskiing: Outdoors,5701,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
592,INOUTA_LIFESAVING_H13,Activity: INOUTA,Location: Life-saving: Indoors,5751,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
593,INOUTB_LIFESAVING_H13,Activity: INOUTB,Location: Life-saving: Outdoors,5752,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
594,INOUTA_ICESKATING_I02,Activity: INOUTA,Location: Ice skating: Indoors,5802,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
595,INOUTB_ICESKATING_I02,Activity: INOUTB,Location: Ice skating: Outdoors,5803,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
