task,model,candidate_id,parameters_json,folds,mean_weighted_tv,sd_weighted_tv,worst_weighted_tv,mean_mae,mean_rmse,mean_weighted_rmse,mean_r2,mean_error,mean_clip_rate,mean_common_rows,mean_all_rows,se_weighted_tv
borough_age,Random Forest,Random Forest_04,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",3,0.05141837662728114,0.0028420552187752714,0.054699006134537737,0.06706250968260231,0.10196263732687823,0.06699527586420896,-0.07866630739506264,-0.003097538371241227,0.0,249.66666666666666,252.66666666666666,0.0016408613456116838
borough_age,Random Forest,Random Forest_05,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",3,0.05110246748078447,0.0011532827328909984,0.05243111046808572,0.06573068185764763,0.10140097933164564,0.06661905926841886,-0.06674329660867902,-0.004680375431916055,0.0,249.66666666666666,252.66666666666666,0.0006658480962863652
borough_age,Ridge Regression,Ridge Regression_01,"{""alpha"": 0.01}",3,0.05801427282153765,0.015441144068347552,0.0757688198840086,0.07092969111778692,0.10466972567633233,0.07363266912944649,-0.15077105861079368,0.007593655821679669,0.0013386880856760374,249.66666666666666,252.66666666666666,0.008914948684456253
borough_age,Ridge Regression,Ridge Regression_02,"{""alpha"": 0.1}",3,0.05798504924462719,0.015451192924925984,0.07575068369990579,0.07091488705410533,0.10465576968645181,0.0735950473224041,-0.15042965242207149,0.007578845495932925,0.0013386880856760374,249.66666666666666,252.66666666666666,0.008920750394506858
borough_age,Ridge Regression,Ridge Regression_03,"{""alpha"": 1.0}",3,0.057721853935506086,0.015525278237770083,0.07557014628065847,0.07078709409900767,0.10452723698366874,0.07324608685899744,-0.14726293961529044,0.007434479084906727,0.0013386880856760374,249.66666666666666,252.66666666666666,0.008963523569820397
borough_age,Ridge Regression,Ridge Regression_04,"{""alpha"": 10.0}",3,0.0564154860642637,0.01517379138292392,0.07389767593289824,0.07022008386581992,0.10381222944004376,0.07125855200516172,-0.12896324528227296,0.006262434450217134,0.0,249.66666666666666,252.66666666666666,0.00876059253955835
borough_age,Ridge Regression,Ridge Regression_05,"{""alpha"": 100.0}",3,0.05306792491096262,0.010080174815765697,0.06467144827911137,0.06874365790148808,0.10212962775464264,0.06788874590877801,-0.08828973006332312,0.0019517445717465234,0.0,249.66666666666666,252.66666666666666,0.005819791643360812
borough_age,Ridge Regression,Ridge Regression_06,"{""alpha"": 1000.0}",3,0.0496078733370447,0.0032107468546898298,0.05236839663272418,0.06687724204855204,0.10071412329024128,0.0650346538230966,-0.05392104373835974,-0.002192653042279334,0.0,249.66666666666666,252.66666666666666,0.0018537255608549175
borough_age,Ridge Regression,Ridge Regression_07,"{""alpha"": 10000.0}",3,0.04782443187485649,0.0027507948917930413,0.050995006482798484,0.0655586393612108,0.10003312611423952,0.06384302456692158,-0.038148248600887946,-0.0054605625239925034,0.0,249.66666666666666,252.66666666666666,0.00158817217126216
borough_age_activity,Gradient Boosting,Gradient Boosting_01,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 1, ""min_leaf_fraction"": 0.05, ""n_estimators"": 120}",3,0.0710789084868667,0.010957960877309887,0.07807296850093502,0.08459673739490063,0.13083353140354223,0.09880640505987452,-0.05067026976423065,-0.02351367772982052,0.0,675.6666666666666,704.0,0.006326581662284251
borough_age_activity,Gradient Boosting,Gradient Boosting_02,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",3,0.06253630659629959,0.006186961944534114,0.0677378750021929,0.07717163967514966,0.12725701196100073,0.0906638535252166,0.00632754778486581,-0.024203912288971712,0.0,675.6666666666666,704.0,0.003572044144142741
