task,model,candidate_id,parameters_json,train_end_year,validation_year,validation_target_rows,common_rows,common_observations,common_weighted_tv,common_mae,common_rmse,common_weighted_rmse,common_r2,common_mean_error,common_clipped_predictions,common_clip_rate,all_observations,all_weighted_tv,all_mae,all_rmse,all_weighted_rmse,all_r2,all_mean_error,all_clipped_predictions,all_clip_rate
borough_age,Gradient Boosting,Gradient Boosting_05,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 3, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",4,5,250,249,249,0.04922943004873334,0.06829792424105385,0.12459313670810562,0.06856918434259011,-0.09055733461336812,-0.03516567890114221,0,0.0,250,0.04923336181957345,0.06826908698314668,0.12440371051089012,0.06856683948981915,-0.0867496104253962,-0.03478066174648061,0,0.0
borough_age,Gradient Boosting,Gradient Boosting_05,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 3, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",5,6,254,248,248,0.046919006184300595,0.059328973589975895,0.09379524159392136,0.059209718630041125,-0.011671118124281454,0.01984984390392089,0,0.0,254,0.04691257043193433,0.05894313203003983,0.09293235781405582,0.059191411932736464,0.003867631028272034,0.02039658021058456,0,0.0
borough_age,Gradient Boosting,Gradient Boosting_05,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 3, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",6,7,254,252,252,0.049386239042923316,0.05491504155240537,0.08122231775552465,0.06685518908622134,0.008117631612478915,-0.029254870454359715,2,0.007936507936507936,254,0.04936631583579225,0.05463011819604659,0.08091921247387311,0.06683514794421719,0.02148011728161192,-0.0288770385980668,2,0.007874015748031496
borough_age,Gradient Boosting,Gradient Boosting_06,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",4,5,250,249,249,0.04784850172130599,0.06755490205726151,0.12080657521737413,0.06583027813715088,-0.02527745780589785,-0.028682353496485,0,0.0,250,0.04785388729534346,0.0675410532747395,0.12063284462100898,0.06582970966595761,-0.021866032487701137,-0.028311253256792037,0,0.0
borough_age,Gradient Boosting,Gradient Boosting_06,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",5,6,254,248,248,0.05099495547235107,0.06753524537428411,0.09723752599522541,0.06291478325334357,-0.08729036632171061,0.03388130102183379,0,0.0,254,0.051079951662964244,0.068635241080031,0.09768038371394865,0.06301249561931005,-0.10051978511467397,0.03577627179102438,0,0.0
borough_age,Gradient Boosting,Gradient Boosting_06,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",6,7,254,252,252,0.04952000825737264,0.05986205964902858,0.081764749558072,0.06593458927817486,-0.0051749000416372315,-0.018021103953978948,0,0.0,254,0.049530029783743455,0.05990169397811169,0.08164553690614207,0.06593391742964622,0.0038350470286517835,-0.01736821636817925,0,0.0
borough_activity,Naive baseline,Naive baseline_01,{},4,5,96,96,96,0.04504489491135,0.05572450688750987,0.06989482744892965,0.05708083740652053,-0.7407584980115043,-0.027136733193547567,0,0.0,96,0.04504489491135,0.05572450688750987,0.06989482744892965,0.05708083740652053,-0.7407584980115043,-0.027136733193547567,0,0.0
borough_activity,Naive baseline,Naive baseline_01,{},5,6,96,96,96,0.04552950603779558,0.05296671888855894,0.06811588575520938,0.05868115068479267,-1.0168595927424593,0.03184359590427643,0,0.0,96,0.04552950603779558,0.05296671888855894,0.06811588575520938,0.05868115068479267,-1.0168595927424593,0.03184359590427643,0,0.0
borough_activity,Naive baseline,Naive baseline_01,{},6,7,96,96,96,0.04178669325089457,0.04417757731538679,0.05746412367471931,0.051777256454659255,-0.22126043205892376,-0.021214832812598044,0,0.0,96,0.04178669325089457,0.04417757731538679,0.05746412367471931,0.051777256454659255,-0.22126043205892376,-0.021214832812598044,0,0.0
borough_activity,Ridge Regression,Ridge Regression_01,"{""alpha"": 0.01}",4,5,96,96,96,0.03405556447623429,0.04099764763967546,0.055660298054000176,0.04492453331766111,-0.10392483821697174,-0.027928877838972313,0,0.0,96,0.03405556447623429,0.04099764763967546,0.055660298054000176,0.04492453331766111,-0.10392483821697174,-0.027928877838972313,0,0.0
