series_id,year,LA_2023,activity_level_3cat,activity_level_3cat_label,frequent_volunteer_rate,not_frequent_volunteer_rate,n_parent_cell,weighted_n_parent_cell,sum_weight_squared,effective_n_parent_cell,n_frequent_volunteer,weighted_n_frequent_volunteer,n_not_frequent_volunteer,weighted_n_not_frequent_volunteer,small_cell,few_frequent_cases,zero_frequent_cases,cell_observed,rate_available,observed_years_in_series,series_coverage_rate,series_has_history,series_complete_history
borough_17__activity_1,4,17,1,fairly_active,0.022169311131059855,0.9778306888689401,41,56.27933066234317,122.80574531196123,25.79165210679162,2,1.2476739917012827,39,55.03165667064189,False,True,False,True,True,6,1.0,True,True
borough_17__activity_1,5,17,1,fairly_active,0.11751865672016203,0.882481343279838,39,59.6312723437054,151.63163796260437,23.450835782741613,5,7.007787024346406,34,52.62348531935899,False,False,False,True,True,6,1.0,True,True
borough_17__activity_1,6,17,1,fairly_active,0.059132712990043634,0.9408672870099564,44,75.44209777196276,231.25938621360314,24.610936703677904,3,4.461095914916284,41,70.98100185704648,False,True,False,True,True,6,1.0,True,True
borough_17__activity_1,7,17,1,fairly_active,0.07095930365531795,0.929040696344682,41,56.26581500605752,120.26654763087721,26.32354549672872,2,3.9925830524287815,39,52.27323195362874,False,True,False,True,True,6,1.0,True,True
borough_17__activity_1,8,17,1,fairly_active,0.10357329752318808,0.896426702476812,42,57.5802643241206,112.9300980154357,29.35875287367963,2,5.963777848305956,40,51.616486475814646,False,True,False,True,True,6,1.0,True,True
borough_17__activity_2,3,17,2,active,0.15329814351099627,0.8467018564890038,210,386.46431915405816,1366.7205260617532,109.27959822889304,32,59.244262659558274,178,327.2200564944999,False,False,False,True,True,6,1.0,True,True
borough_17__activity_2,4,17,2,active,0.14831493069138005,0.85168506930862,221,363.00746963594685,1105.3655290514753,119.21343623278155,30,53.839427699508704,191,309.16804193643816,False,False,False,True,True,6,1.0,True,True
borough_17__activity_2,5,17,2,active,0.14531141022802155,0.8546885897719786,199,311.139883799069,852.7723515651851,113.5215360967273,33,45.212175293025474,166,265.9277085060436,False,False,False,True,True,6,1.0,True,True
borough_17__activity_2,6,17,2,active,0.0777922184712918,0.9222077815287081,223,308.9691050781412,640.9579982285155,148.9362924819189,17,24.03539212311827,206,284.9337129550229,False,False,False,True,True,6,1.0,True,True
borough_17__activity_2,7,17,2,active,0.16202897750070971,0.8379710224992902,220,328.37053904021576,790.9405353535232,136.3278351404342,27,53.20554268204304,193,275.1649963581727,False,False,False,True,True,6,1.0,True,True
