year,survey_wave,calendar_year,geography_code,geography_name,inner_outer,age_band,respondent_n,effective_n,inactive_rate,fairly_active_rate,active_rate,population,population_share
7,2021/22,2022,E09000006,Bromley,Outer London,55–64,95.0,58.255212111024015,0.3369949297936338,0.02388031446912051,0.6391247557372459,41577,0.15675651219870831
7,2021/22,2022,E09000006,Bromley,Outer London,65+,148.0,109.01956362284736,0.23649497183691015,0.07644599128179988,0.6870590368812901,58746,0.2214882763457036
7,2021/22,2022,E09000007,Camden,Inner London,16–34,127.0,81.95258372914753,0.19958056828997814,0.08358100945119488,0.7168384222588273,80688,0.436687178321508
7,2021/22,2022,E09000007,Camden,Inner London,35–54,162.0,106.48727186332817,0.11907182292068832,0.08145397524996267,0.799474201829349,56891,0.30789671651161155
7,2021/22,2022,E09000007,Camden,Inner London,55–64,84.0,56.897379360384235,0.25746623036801214,0.10120075599857013,0.6413330136334177,21827,0.11812873092930244
7,2021/22,2022,E09000007,Camden,Inner London,65+,117.0,79.90148361108841,0.22851439782153563,0.13730424255826104,0.6341813596202034,25367,0.137287374237578
7,2021/22,2022,E09000008,Croydon,Outer London,16–34,119.0,85.40307783649595,0.21058251905341238,0.13804416104616477,0.6513733199004227,98728,0.31531410686340267
7,2021/22,2022,E09000008,Croydon,Outer London,35–54,198.0,127.29737814691292,0.21654347939306753,0.13830363316270802,0.6451528874442245,112390,0.3589473348024656
7,2021/22,2022,E09000008,Croydon,Outer London,55–64,85.0,53.082275127577795,0.22910977722636178,0.10194339884242425,0.6689468239312141,47495,0.15168790520903197
7,2021/22,2022,E09000008,Croydon,Outer London,65+,93.0,68.01532314323015,0.38915401619280815,0.11369051592263667,0.49715546788455517,54497,0.17405065312509982
7,2021/22,2022,E09000009,Ealing,Outer London,16–34,126.0,88.50965752898186,0.21218843405237892,0.08340237361022895,0.7044091923373921,101257,0.33912513438474395
7,2021/22,2022,E09000009,Ealing,Outer London,35–54,180.0,125.60437326410425,0.2067051785271806,0.15693370997467437,0.6363611114981451,110788,0.3710459068332758
7,2021/22,2022,E09000009,Ealing,Outer London,55–64,87.0,56.36017568665166,0.260539671215487,0.04731574082384893,0.6921445879606639,40471,0.13554355070449423
7,2021/22,2022,E09000009,Ealing,Outer London,65+,87.0,56.43581611191653,0.23518366516972894,0.15939076108490693,0.605425573745364,46067,0.154285408077486
7,2021/22,2022,E09000010,Enfield,Outer London,16–34,104.0,68.41809290588212,0.3013170413352613,0.15154173817182162,0.5471412204929169,78570,0.30772183230981326
7,2021/22,2022,E09000010,Enfield,Outer London,35–54,165.0,107.78843051345108,0.2699521116599625,0.054992754579234866,0.6750551337608027,92104,0.3607281614237373
7,2021/22,2022,E09000010,Enfield,Outer London,55–64,91.0,59.25746313444829,0.21858801824685156,0.08610826258057849,0.6953037191725698,38689,0.1515266637423236
7,2021/22,2022,E09000010,Enfield,Outer London,65+,141.0,99.12806721805782,0.38035424411004976,0.08249688671550416,0.5371488691744462,45965,0.18002334252412583
7,2021/22,2022,E09000011,Greenwich,Outer London,16–34,131.0,91.00856247103171,0.23400854791916095,0.1258867396961291,0.64010471238471,85184,0.36499972148546794
7,2021/22,2022,E09000011,Greenwich,Outer London,35–54,220.0,127.42589818863499,0.2844235392160213,0.12807787965608197,0.5874985811278968,87459,0.3747477301065639
7,2021/22,2022,E09000011,Greenwich,Outer London,55–64,68.0,39.522522779191426,0.26502873929186155,0.054233823755228415,0.6807374369529102,29855,0.1279238669814595
7,2021/22,2022,E09000011,Greenwich,Outer London,65+,74.0,50.23865473647864,0.2332213147786302,0.15505876133802227,0.6117199238833475,30883,0.13232868142650858
7,2021/22,2022,E09000012,Hackney,Inner London,16–34,195.0,131.85876607181166,0.18245221480307225,0.06786817765817692,0.7496796075387511,95946,0.4512218062792754
7,2021/22,2022,E09000012,Hackney,Inner London,35–54,197.0,123.70185655429876,0.20404293118894687,0.12013439013682978,0.6758226786742233,71407,0.33581801764517766
7,2021/22,2022,E09000012,Hackney,Inner London,55–64,61.0,36.62199684536258,0.2836315782904043,0.04115834286998747,0.675210078839608,24042,0.11306646099437537
7,2021/22,2022,E09000012,Hackney,Inner London,65+,58.0,38.34122907309533,0.13481783622818555,0.1723631227255945,0.6928190410462198,21241,0.09989371508117158
7,2021/22,2022,E09000013,Hammersmith and Fulham,Inner London,16–34,166.0,105.0890350470054,0.1294604057942689,0.06461301181951976,0.8059265823862113,68375,0.43515754771617865
7,2021/22,2022,E09000013,Hammersmith and Fulham,Inner London,35–54,194.0,124.50040587743827,0.2167893908374595,0.0873634405494359,0.6958471686131045,50728,0.322847123664297
7,2021/22,2022,E09000013,Hammersmith and Fulham,Inner London,55–64,71.0,46.81966813967307,0.18395554639530184,0.03739205344253239,0.7786524001621659,18610,0.11843922432172702
7,2021/22,2022,E09000013,Hammersmith and Fulham,Inner London,65+,97.0,61.62615015092188,0.33681252559232866,0.07769623284146601,0.5854912415662054,19414,0.12355610429779733
7,2021/22,2022,E09000014,Haringey,Inner London,16–34,130.0,89.98521189408123,0.18733720198696777,0.0963256950538924,0.71633710295914,76360,0.3565009127282404
7,2021/22,2022,E09000014,Haringey,Inner London,35–54,192.0,128.12316067615174,0.1639286890648577,0.12724324623819344,0.7088280646969489,80452,0.3756051785072341
7,2021/22,2022,E09000014,Haringey,Inner London,55–64,87.0,53.71476228108161,0.18814145326758747,0.14031329900877607,0.6715452477236364,28849,0.13468694121656638
7,2021/22,2022,E09000014,Haringey,Inner London,65+,75.0,52.891896432584296,0.3357062567640647,0.13427062353250213,0.530023119703433,28532,0.13320696754795908
7,2021/22,2022,E09000015,Harrow,Outer London,16–34,110.0,69.27605453990067,0.23244850334133074,0.07430283521141183,0.6932486614472574,65165,0.31109615265265983
7,2021/22,2022,E09000015,Harrow,Outer London,35–54,198.0,127.15793431771316,0.28761305237260576,0.09648057046621061,0.6159063771611832,73996,0.35325513560479116
7,2021/22,2022,E09000015,Harrow,Outer London,55–64,84.0,54.65818569282465,0.2385976728344607,0.09323838927644236,0.668163937889097,29138,0.13910411564479708
7,2021/22,2022,E09000015,Harrow,Outer London,65+,122.0,88.87540830796169,0.3601271513770422,0.1276742133801485,0.5121986352428093,41170,0.19654459609775193
7,2021/22,2022,E09000016,Havering,Outer London,16–34,87.0,58.32755621232718,0.27414951946527205,0.05994521634398996,0.6659052641907379,61506,0.2914506667172114
7,2021/22,2022,E09000016,Havering,Outer London,35–54,202.0,136.4259333127825,0.2054316342398822,0.11039584435713927,0.6841725214029786,71054,0.3366945610659894
7,2021/22,2022,E09000016,Havering,Outer London,55–64,81.0,46.855784077438706,0.21676434174654213,0.15978330738971885,0.6234523508637392,32057,0.15190443246112
7,2021/22,2022,E09000016,Havering,Outer London,65+,138.0,95.90878308969457,0.4173934105140706,0.11291096390647776,0.46969562557945166,46417,0.21995033975567918
7,2021/22,2022,E09000017,Hillingdon,Outer London,16–34,100.0,68.15653289204997,0.2592988248614991,0.05641784292405679,0.6842833322144442,81386,0.32964211072047694
7,2021/22,2022,E09000017,Hillingdon,Outer London,35–54,181.0,119.29040309906162,0.2667174470354723,0.09217214515061002,0.6411104078139175,89684,0.36325194822027446
7,2021/22,2022,E09000017,Hillingdon,Outer London,55–64,106.0,61.648251762550494,0.21114576419193085,0.04253347389129218,0.7463207619167769,33931,0.13743256160588435
7,2021/22,2022,E09000017,Hillingdon,Outer London,65+,95.0,71.35810046666506,0.34488698912270993,0.1940669816444713,0.4610460292328187,41891,0.16967337945336422
7,2021/22,2022,E09000018,Hounslow,Outer London,16–34,108.0,58.22291054893989,0.32274074709231504,0.05895104949800801,0.6183082034096771,74565,0.32440298799667616
7,2021/22,2022,E09000018,Hounslow,Outer London,35–54,205.0,131.6167301871646,0.3187511643517789,0.06258556198345,0.6186632736647711,89779,0.39059311821033443
7,2021/22,2022,E09000018,Hounslow,Outer London,55–64,75.0,49.70558011592288,0.25876059434409365,0.10724889012422302,0.6339905155316836,30541,0.13287187898352426
7,2021/22,2022,E09000018,Hounslow,Outer London,65+,107.0,70.42910395392177,0.3246410472285904,0.11334157816148514,0.5620173746099245,34968,0.15213201480946517
7,2021/22,2022,E09000019,Islington,Inner London,16–34,187.0,118.28066935319687,0.1328422671703046,0.11313508599705102,0.7540226468326445,86397,0.4618555047710689
7,2021/22,2022,E09000019,Islington,Inner London,35–54,170.0,99.08376268657253,0.23337344965794804,0.07945507856939292,0.6871714717726591,58474,0.31258653409242776
7,2021/22,2022,E09000019,Islington,Inner London,55–64,61.0,38.811120330452724,0.1370666862296544,0.10222850866376287,0.7607048051065828,21522,0.11505091813006174
7,2021/22,2022,E09000019,Islington,Inner London,65+,95.0,69.92183778405695,0.2042214408222366,0.16784956173216586,0.6279289974455975,20672,0.11050704300644161
7,2021/22,2022,E09000020,Kensington and Chelsea,Inner London,16–34,112.0,75.14539328663416,0.2085638415145438,0.1266381076784815,0.6647980508069747,44750,0.3556837871778975
7,2021/22,2022,E09000020,Kensington and Chelsea,Inner London,35–54,159.0,95.15350704379416,0.25396078106362957,0.14571810281552627,0.600321116120844,40739,0.32380339230928196
7,2021/22,2022,E09000020,Kensington and Chelsea,Inner London,55–64,87.0,54.14918113103328,0.11379219071191284,0.16019464982180542,0.7260131594662819,19049,0.15140604384249765
7,2021/22,2022,E09000020,Kensington and Chelsea,Inner London,65+,150.0,108.9748209283647,0.2902839252824044,0.10124275187610476,0.6084733228414909,21276,0.16910677667032287
7,2021/22,2022,E09000021,Kingston upon Thames,Outer London,16–34,99.0,61.98043540667402,0.06238035909501623,0.07449528077232873,0.8631243601326547,42055,0.3085654330408241
7,2021/22,2022,E09000021,Kingston upon Thames,Outer London,35–54,190.0,124.78848136652665,0.1736615635430013,0.16031044116304705,0.6660279952939516,50588,0.37117365656091333
