predictor_group,repeat,permuted_weighted_tv,increase_in_weighted_tv
Lagged 12-month participation,17,0.10329377902832844,0.00019160163969851596
Lagged 12-month participation,18,0.10327808296341891,0.00017590557478898428
Lagged 12-month participation,19,0.10333354866715114,0.00023137127852121409
Lagged 12-month participation,20,0.1033125490966774,0.00021037170804748262
Lagged 12-month participation,21,0.1033591759422594,0.00025699855362947
Lagged 12-month participation,22,0.10330314871794982,0.00020097132931989892
Lagged 12-month participation,23,0.10330138364838982,0.00019920625975990147
Lagged 12-month participation,24,0.10326292579858272,0.00016074840995279616
Lagged 12-month participation,25,0.10336006673066143,0.0002578893420315115
Lagged 12-month participation,26,0.10332509191112829,0.00022291452249836863
Lagged 12-month participation,27,0.10333048994238506,0.00022831255375513337
Lagged 12-month participation,28,0.10335018603616893,0.00024800864753900254
Lagged 12-month participation,29,0.10330233216006907,0.00020015477143914273
Lagged 12-month participation,30,0.1032670406731871,0.0001648632845571707
Lagged recent participation (any),1,0.10402138099292577,0.0009192036042958429
Lagged recent participation (any),2,0.10367410741220168,0.0005719300235717539
Lagged recent participation (any),3,0.1039190285793027,0.0008168511906727766
Lagged recent participation (any),4,0.10361363194807614,0.00051145455944622
Lagged recent participation (any),5,0.10349910641231021,0.00039692902368028415
Lagged recent participation (any),6,0.10399414206468724,0.0008919646760573163
Lagged recent participation (any),7,0.1036848999266627,0.0005827225380327788
Lagged recent participation (any),8,0.10407685344109704,0.0009746760524671216
Lagged recent participation (any),9,0.1039112856097778,0.0008091082211478806
Lagged recent participation (any),10,0.10407764736840451,0.0009754699797745875
Lagged recent participation (any),11,0.1039281179384917,0.0008259405498617783
Lagged recent participation (any),12,0.10361385900773071,0.0005116816191007845
Lagged recent participation (any),13,0.10371379946038937,0.0006116220717594517
Lagged recent participation (any),14,0.10376012769286379,0.0006579503042338647
Lagged recent participation (any),15,0.10365882678342815,0.0005566493947982282
Lagged recent participation (any),16,0.10353200766478717,0.000429830276157242
Lagged recent participation (any),17,0.10372135819681623,0.0006191808081863065
Lagged recent participation (any),18,0.10354511336252895,0.0004429359738990224
Lagged recent participation (any),19,0.10376839538064639,0.0006662179920164657
Lagged recent participation (any),20,0.10326308903189628,0.00016091164326635654
Lagged recent participation (any),21,0.10408897933252655,0.000986801943896623
Lagged recent participation (any),22,0.10382771891795152,0.0007255415293215967
Lagged recent participation (any),23,0.10423868554412138,0.0011365081554914613
Lagged recent participation (any),24,0.10371190823975666,0.0006097308511267413
Lagged recent participation (any),25,0.10391823062937007,0.0008160532407401472
Lagged recent participation (any),26,0.10366356016822598,0.0005613827795960535
Lagged recent participation (any),27,0.10431773777564128,0.001215560387011358
Lagged recent participation (any),28,0.1036236494197369,0.0005214720311069732
Lagged recent participation (any),29,0.10355236284295652,0.00045018545432659596
Lagged recent participation (any),30,0.10393034709880762,0.000828169710177698
Lagged recent participation (2+),1,0.10318000225252105,7.782486389112941e-05
Lagged recent participation (2+),2,0.1031336863535987,3.150896496877109e-05
