year,survey_wave,geography_code,geography_name,inner_outer,inactive_rate,fairly_active_rate,active_rate,effective_n,population_age_16_34_rate,population_age_65_plus_rate,earnings_relative_to_london,economic_inactivity_rate,net_migration_per_1000,personal_safety_crime_rate_per_1000,property_public_space_crime_rate_per_1000,selected_recorded_crime_rate_per_1000
2,2016/17,E09000024,Merton,Outer London,0.1668525191042621,0.1655581715079506,0.6675893093877873,290.6204856869382,0.3430407945421636,0.148924444238177,1.0241587826686456,0.184,-13.266428694106231,19.401718460023407,28.98653870403019,48.3882571640536
2,2016/17,E09000025,Newham,Inner London,0.2499103401079373,0.1232135905599073,0.6268760693321555,287.4215012836696,0.4506011380323054,0.088010126040137,0.8423840039646294,0.266,-10.501488178806088,32.80312500925011,46.20617049218501,79.00929550143512
2,2016/17,E09000026,Redbridge,Outer London,0.2634442155042095,0.155273661430783,0.5812821230650074,580.6172242762627,0.3516161701409401,0.1546923791037218,0.9773298819602362,0.242,-10.43678927360862,22.366844160531805,34.86374992230326,57.23059408283507
2,2016/17,E09000027,Richmond upon Thames,Outer London,0.1717625231484088,0.1081503281117141,0.720087148739877,314.99119087222425,0.2598077821958419,0.190264891757429,1.190204770295028,0.231,-5.816641181819567,16.279018549169955,32.766416667654916,49.04543521682487
2,2016/17,E09000028,Southwark,Inner London,0.1948636808569908,0.1162334285425966,0.6889028906004124,307.45184592693687,0.4414824962189299,0.0955244799543896,1.0493605956453087,0.155,-2.5679365492133663,32.74613533378141,49.56312468833337,82.30926002211478
2,2016/17,E09000029,Sutton,Outer London,0.2711052342579688,0.1282016382654403,0.6006931274765909,308.66194878977217,0.2898628481215619,0.1884913293371815,0.920849223090552,0.161,0.3417568253720267,19.64610292002975,26.113332122119665,45.75943504214942
2,2016/17,E09000030,Tower Hamlets,Inner London,0.2287558607809775,0.1394869317174988,0.6317572075015235,274.5302293148514,0.5349072156232827,0.0699835143932028,1.0581186724953546,0.313,7.955002282591661,33.063101680992304,48.65535986009663,81.71846154108894
2,2016/17,E09000031,Waltham Forest,Outer London,0.1999533551831386,0.140666861142565,0.6593797836742963,296.58548933490863,0.3779515339075501,0.1246160096037538,0.8926088936557095,0.187,-9.273475845454056,26.12127804769232,36.217187992847236,62.33846604053956
2,2016/17,E09000032,Wandsworth,Inner London,0.1908035331153532,0.1030344960952114,0.7061619707894353,263.6770829909732,0.4498525127657786,0.1096157290474919,1.2175514184186411,0.185,2.0759166355582668,21.58188094704941,37.53423463861495,59.11611558566436
2,2016/17,E09000033,Westminster,Inner London,0.171614617443961,0.1658844168002098,0.662500965755829,284.1069408306596,0.3923748522204399,0.1391986323799585,1.306204604492576,0.297,-13.361272266807312,57.762697078123225,158.51908512763455,216.2817822057578
3,2017/18,E09000002,Barking and Dagenham,Outer London,0.3390514987546156,0.0964720962156224,0.5644764050297619,265.75395322755764,0.3713816205283782,0.1209012767033244,0.8364207698409309,0.2739999999999999,-6.842411857714819,31.345257107835,33.545168030740086,64.89042513857508
3,2017/18,E09000003,Barnet,Outer London,0.2195747984947496,0.1188534111561311,0.6615717903491193,294.3314645784193,0.3287261592585957,0.1767447920908187,0.9368052287552568,0.242,0.376702255569259,19.984608010294632,33.338687942697355,53.323295952991984
3,2017/18,E09000004,Bexley,Outer London,0.1943347328385777,0.0782250504106947,0.7274402167507275,302.1766874165,0.2950025929215808,0.2079882522681645,0.8950802101804327,0.211,-1.0112377876726852,19.814865432708196,26.689077550087916,46.50394298279611
3,2017/18,E09000005,Brent,Outer London,0.2933107718813842,0.1003509574518743,0.6063382706667415,249.23109186950967,0.3783275326874236,0.1369290102240906,0.8378174231823476,0.247,-3.1253798204642926,30.91252223787803,34.401991277293476,65.31451351517151
3,2017/18,E09000006,Bromley,Outer London,0.2134180909409027,0.1199739507912261,0.666607958267871,310.4533519176487,0.2655971412023455,0.2183580840907456,1.104578211392939,0.183,-0.5206331140822177,20.86251728320837,32.46895837340211,53.33147565661048
3,2017/18,E09000007,Camden,Inner London,0.1673518916433409,0.1159587467592757,0.7166893615973832,288.3214703569253,0.4230458691572469,0.137503818792825,1.1075460997434494,0.244,7.769084275979166,42.6289047453088,90.17829300951996,132.80719775482876
