LA_2023,age_group,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
171,25-34,8,0,139.5,133,0.0,False,False,False
171,35-44,8,0,115.0,100,0.0,False,False,False
171,45-54,8,0,72.0,49,0.0,False,False,False
171,55-64,8,0,51.5,40,0.0,False,False,False
171,65-74,8,3,30.5,24,0.375,False,False,False
171,75-84,8,8,15.0,8,1.0,True,False,True
171,85+,8,8,3.5,2,1.0,True,False,True
196,16-24,8,0,43.5,35,0.0,False,False,False
196,25-34,8,0,81.0,68,0.0,False,False,False
196,35-44,8,0,111.5,99,0.0,False,False,False
196,45-54,8,0,87.5,74,0.0,False,False,False
196,55-64,8,0,69.5,60,0.0,False,False,False
196,65-74,8,0,76.5,56,0.0,False,False,False
196,75-84,8,3,30.5,22,0.375,False,False,False
196,85+,8,8,9.5,8,1.0,True,False,True
201,16-24,8,6,26.0,15,0.75,True,False,True
201,25-34,8,0,48.5,44,0.0,False,False,False
201,35-44,8,0,94.5,70,0.0,False,False,False
201,45-54,8,0,103.0,90,0.0,False,False,False
201,55-64,8,0,96.5,87,0.0,False,False,False
201,65-74,8,0,82.0,66,0.0,False,False,False
201,75-84,8,2,43.0,22,0.25,False,False,False
201,85+,8,8,9.0,3,1.0,True,False,True
241,16-24,8,0,41.5,38,0.0,False,False,False
241,25-34,8,0,135.5,118,0.0,False,False,False
241,35-44,8,0,121.0,97,0.0,False,False,False
241,45-54,8,0,79.0,72,0.0,False,False,False
241,55-64,8,0,63.5,57,0.0,False,False,False
241,65-74,8,0,45.0,39,0.0,False,False,False
241,75-84,8,8,16.0,12,1.0,True,False,True
241,85+,8,8,3.5,1,1.0,True,False,True
255,16-24,8,5,27.0,19,0.625,True,False,True
255,25-34,8,0,66.0,59,0.0,False,False,False
255,35-44,8,0,110.0,94,0.0,False,False,False
255,45-54,8,0,88.0,70,0.0,False,False,False
255,55-64,8,0,88.0,69,0.0,False,False,False
255,65-74,8,0,78.0,68,0.0,False,False,False
255,75-84,8,3,33.5,27,0.375,False,False,False
255,85+,8,8,10.0,6,1.0,True,False,True
272,16-24,8,0,61.5,49,0.0,False,False,False
272,25-34,8,0,182.0,162,0.0,False,False,False
272,35-44,8,0,120.5,98,0.0,False,False,False
272,45-54,8,0,62.5,45,0.0,False,False,False
272,55-64,8,0,42.0,37,0.0,False,False,False
272,65-74,8,6,22.5,11,0.75,True,False,True
272,75-84,8,8,7.5,3,1.0,True,False,True
272,85+,8,8,2.0,1,1.0,True,False,True
279,16-24,8,0,38.0,30,0.0,False,False,False
279,25-34,8,0,92.5,81,0.0,False,False,False
279,35-44,8,0,123.0,103,0.0,False,False,False
279,45-54,8,0,88.5,75,0.0,False,False,False
279,55-64,8,0,74.5,65,0.0,False,False,False
279,65-74,8,0,47.0,38,0.0,False,False,False
279,75-84,8,7,19.0,11,0.875,True,False,True
279,85+,8,8,8.0,1,1.0,True,False,True
280,16-24,8,2,34.5,27,0.25,False,False,False
280,25-34,8,0,129.0,106,0.0,False,False,False
280,35-44,8,0,112.0,87,0.0,False,False,False
280,45-54,8,0,84.5,72,0.0,False,False,False
280,55-64,8,0,66.0,59,0.0,False,False,False
280,65-74,8,0,42.5,41,0.0,False,False,False
280,75-84,8,8,18.5,16,1.0,True,False,True
280,85+,8,8,3.0,1,1.0,True,False,True
293,16-24,8,0,46.0,31,0.0,False,False,False
293,25-34,8,0,95.0,85,0.0,False,False,False
293,35-44,8,0,80.5,64,0.0,False,False,False
293,45-54,8,0,84.5,56,0.0,False,False,False
293,55-64,8,0,81.5,67,0.0,False,False,False
293,65-74,8,0,69.5,44,0.0,False,False,False
293,75-84,8,1,36.0,29,0.125,False,False,False
293,85+,8,8,11.5,5,1.0,True,False,True
30,16-24,8,0,52.5,44,0.0,False,False,False
30,25-34,8,0,90.5,75,0.0,False,False,False
30,35-44,8,0,110.5,104,0.0,False,False,False
