year,LA_2023,disability_group,activity,participation_MONTHS_12,second_activity,second_participation_MONTHS_12,ranking_margin,top_two_tied,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
9,135,disty7,ACTTRAV_C03,0.686676690726013,WALKTRAV_B02,0.6725287587822331,0.014147931943779946,False,8,7,17.5,14,0.875,True,False,True
9,135,disty8,ACTTRAV_C03,0.6700640043797281,WALKTRAV_B02,0.6461798773292334,0.023884127050494697,False,8,8,15.5,11,1.0,True,False,True
9,135,disty9,ACTTRAV_C03,0.6335030111753589,WALKTRAV_B02,0.6017910858879587,0.03171192528740019,False,8,8,8.0,5,1.0,True,False,True
9,135,limiting_disability,ACTTRAV_C03,0.7052246501630814,WALKTRAV_B02,0.6886616817697242,0.016562968393357247,False,8,0,73.0,64,0.0,False,False,False
9,135,no_disability,ACTTRAV_C03,0.7412077450555536,WALKTRAV_B02,0.7184790191673207,0.022728725888232937,False,8,0,315.0,302,0.0,False,False,False
9,135,non_limiting_disability,ACTTRAV_C03,0.7662632363688365,WALKTRAV_B02,0.7449906961645267,0.021272540204309798,False,8,0,73.0,53,0.0,False,False,False
9,136,disty1,ACTTRAV_C03,0.6516972279336208,WALKTRAV_B02,0.6358480520775084,0.015849175856112452,False,8,2,36.5,24,0.25,False,False,False
9,136,disty10,ACTTRAV_C03,0.6164995304227432,WALKTRAV_B02,0.5916813792867893,0.02481815113595387,False,8,8,4.0,3,1.0,True,False,True
9,136,disty11,ACTTRAV_C03,0.5982035402588263,WALKTRAV_B02,0.5840556083150463,0.014147931943779946,False,8,8,3.5,1,1.0,True,False,True
9,136,disty12,ACTTRAV_C03,0.6226618934865766,WALKTRAV_B02,0.6058995921227225,0.01676230136385415,False,8,8,6.5,3,1.0,True,False,True
9,136,disty13,ACTTRAV_C03,0.6524067212435322,WALKTRAV_B02,0.6382587892997521,0.014147931943780057,False,7,7,5.0,1,1.0,True,True,True
9,136,disty2,ACTTRAV_C03,0.6427310772126852,WALKTRAV_B02,0.6285831452689052,0.014147931943779946,False,8,5,27.5,20,0.625,True,False,True
9,136,disty3,ACTTRAV_C03,0.6370069690785387,WALKTRAV_B02,0.6218871442127222,0.015119824865816534,False,8,1,38.0,27,0.125,False,False,False
9,136,disty4,ACTTRAV_C03,0.6134832486546921,WALKTRAV_B02,0.5954341428770696,0.01804910577762242,False,8,8,13.0,6,1.0,True,False,True
9,136,disty5,ACTTRAV_C03,0.6478125720052067,WALKTRAV_B02,0.628821127224718,0.018991444780488753,False,8,5,24.5,16,0.625,True,False,True
9,136,disty6,ACTTRAV_C03,0.6225236494984968,WALKTRAV_B02,0.6083757175547169,0.014147931943779946,False,8,8,6.5,3,1.0,True,False,True
9,136,disty7,ACTTRAV_C03,0.6278513158992214,WALKTRAV_B02,0.6087838350321515,0.019067480867069886,False,8,8,17.0,10,1.0,True,False,True
9,136,disty8,ACTTRAV_C03,0.6189912852763317,WALKTRAV_B02,0.6017007853758751,0.017290499900456613,False,8,8,11.0,7,1.0,True,False,True
9,136,disty9,ACTTRAV_C03,0.6209999429943279,WALKTRAV_B02,0.6068520110505481,0.014147931943779835,False,8,8,8.0,4,1.0,True,False,True
9,136,limiting_disability,ACTTRAV_C03,0.6559254577944196,WALKTRAV_B02,0.6381548782253511,0.017770579569068468,False,8,0,66.0,51,0.0,False,False,False
9,136,no_disability,ACTTRAV_C03,0.7331172598234268,WALKTRAV_B02,0.7079910055224666,0.02512625430096016,False,8,0,315.5,291,0.0,False,False,False
9,136,non_limiting_disability,ACTTRAV_C03,0.7373199663924318,WALKTRAV_B02,0.7213699044274292,0.015950061965002593,False,8,0,71.5,64,0.0,False,False,False
9,139,disty1,ACTTRAV_C03,0.6649764336223376,WALKTRAV_B02,0.6508285016785577,0.014147931943779946,False,8,4,30.0,19,0.5,True,False,True
9,139,disty10,ACTTRAV_C03,0.6215988234866997,WALKTRAV_B02,0.6074508915429198,0.014147931943779946,False,8,8,2.5,1,1.0,True,False,True
9,139,disty11,ACTTRAV_C03,0.6991847689100849,WALKTRAV_B02,0.6850368369663048,0.014147931943780057,False,7,7,2.0,1,1.0,True,True,True
9,139,disty12,ACTTRAV_C03,0.7127710705724739,WALKTRAV_B02,0.6971572361845392,0.015613834387934733,False,8,8,6.5,2,1.0,True,False,True
9,139,disty13,ACTTRAV_C03,0.7265836560787385,WALKTRAV_B02,0.7124357241349587,0.014147931943779835,False,8,8,3.0,1,1.0,True,False,True
9,139,disty2,ACTTRAV_C03,0.6778565158483161,WALKTRAV_B02,0.6637085839045361,0.014147931943779946,False,8,6,24.5,14,0.75,True,False,True
9,139,disty3,ACTTRAV_C03,0.6622399520645781,WALKTRAV_B02,0.6480920201207981,0.014147931943779946,False,8,2,35.0,22,0.25,False,False,False
9,139,disty4,ACTTRAV_C03,0.6915523784126514,WALKTRAV_B02,0.6774044464688714,0.014147931943779946,False,8,8,10.0,6,1.0,True,False,True
9,139,disty5,ACTTRAV_C03,0.7060852504166584,WALKTRAV_B02,0.6912322982199466,0.014852952196711788,False,8,6,20.0,14,0.75,True,False,True
