LA_2023,disability_group,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
17,disty3,8,0,51.0,40,0.0,False,False,False
17,disty4,8,8,10.5,8,1.0,True,False,True
17,disty5,8,5,25.0,18,0.625,True,False,True
17,disty6,8,8,5.5,1,1.0,True,False,True
17,disty7,8,7,23.5,12,0.875,True,False,True
17,disty8,8,8,12.0,7,1.0,True,False,True
17,disty9,8,8,11.0,7,1.0,True,False,True
17,limiting_disability,8,0,78.0,71,0.0,False,False,False
17,no_disability,8,0,315.5,291,0.0,False,False,False
17,non_limiting_disability,8,0,73.0,63,0.0,False,False,False
171,disty1,8,0,38.0,32,0.0,False,False,False
171,disty10,8,8,5.0,2,1.0,True,False,True
171,disty11,8,8,3.0,1,1.0,True,False,True
171,disty12,8,8,6.5,4,1.0,True,False,True
171,disty13,8,8,5.5,4,1.0,True,False,True
171,disty2,8,7,25.0,20,0.875,True,False,True
171,disty3,8,1,33.5,26,0.125,False,False,False
171,disty4,8,8,7.5,3,1.0,True,False,True
171,disty5,8,5,25.5,14,0.625,True,False,True
171,disty6,8,8,5.5,1,1.0,True,False,True
171,disty7,8,8,18.0,12,1.0,True,False,True
171,disty8,8,8,10.0,6,1.0,True,False,True
171,disty9,8,8,10.0,7,1.0,True,False,True
171,limiting_disability,8,0,69.5,58,0.0,False,False,False
171,no_disability,8,0,329.5,305,0.0,False,False,False
171,non_limiting_disability,8,0,55.5,47,0.0,False,False,False
196,disty1,8,0,40.0,32,0.0,False,False,False
196,disty10,8,8,3.0,1,1.0,True,False,True
196,disty11,8,8,2.0,1,1.0,True,False,True
196,disty12,8,8,7.5,4,1.0,True,False,True
196,disty13,8,8,5.5,3,1.0,True,False,True
196,disty2,8,5,28.5,24,0.625,True,False,True
196,disty3,8,0,38.0,31,0.0,False,False,False
196,disty4,8,8,12.0,3,1.0,True,False,True
196,disty5,8,7,21.0,10,0.875,True,False,True
196,disty6,8,8,7.0,4,1.0,True,False,True
196,disty7,8,8,20.0,14,1.0,True,False,True
196,disty8,8,8,10.5,6,1.0,True,False,True
196,disty9,8,8,11.0,5,1.0,True,False,True
196,limiting_disability,8,0,74.5,60,0.0,False,False,False
196,no_disability,8,0,330.0,301,0.0,False,False,False
196,non_limiting_disability,8,0,76.0,63,0.0,False,False,False
201,disty1,8,7,23.0,20,0.875,True,False,True
201,disty10,7,7,3.0,2,1.0,True,True,True
201,disty11,7,7,2.0,1,1.0,True,True,True
201,disty12,8,8,5.5,3,1.0,True,False,True
201,disty13,8,8,3.5,1,1.0,True,False,True
201,disty2,8,8,19.5,14,1.0,True,False,True
201,disty3,8,6,27.5,23,0.75,True,False,True
201,disty4,8,8,9.0,6,1.0,True,False,True
201,disty5,8,8,16.0,8,1.0,True,False,True
