year,forecast_horizon,LA_2023,age_group_code,age_group,inactive_rate,fairly_active_rate,active_rate,active_inactive_gap_pp,fairly_active_inactive_gap_pp
12,4,8,5,45-54,0.06298893084903882,0.06828720976094617,0.14096405454800967,7.797512369897085,0.5298278911907345
12,4,8,6,55-64,0.06298893084903882,0.06298893084903882,0.11542652906966608,5.243759822062725,0.0
12,4,8,7,65-74,0.05602081899477232,0.06298893084903882,0.11897511338001762,6.29542943852453,0.6968111854266503
12,4,8,8,75-84,0.05806751187776666,0.028224328502445398,0.09472603980560183,3.665852792783517,-2.9843183375321263
12,4,8,9,85+,0.027098661715757987,0.06298893084903882,0.0318137018998576,0.4715040184099611,3.5890269133280834
12,4,9,2,16-24,0.08907149740807886,0.0745735571999926,0.1647410609319367,7.566956352385783,-1.4497940208086257
12,4,9,3,25-34,0.0745735571999926,0.0745735571999926,0.10402927597486862,2.945571877487602,0.0
12,4,9,4,35-44,0.0745735571999926,0.0745735571999926,0.11915693657198588,4.458337937199327,0.0
12,4,9,5,45-54,0.0745735571999926,0.0745735571999926,0.14724440865104468,7.267085145105208,0.0
12,4,9,6,55-64,0.0745735571999926,0.0745735571999926,0.12170208211155964,4.712852491156704,0.0
12,4,9,7,65-74,0.06230716643381875,0.0745735571999926,0.12465353515556885,6.23463687217501,1.2266390766173856
12,4,9,8,75-84,0.06965213822872043,0.05753141370336025,0.10101238724464827,3.1360249015927835,-1.2120724525360185
12,4,9,9,85+,0.03236916478534387,0.0745735571999926,0.058573573616542515,2.6204408831198642,4.220439241464873
12,4,17,2,16-24,0.08907149740807886,0.0745735571999926,0.1647410609319367,7.566956352385783,-1.4497940208086257
12,4,17,3,25-34,0.0745735571999926,0.0745735571999926,0.10402927597486862,2.945571877487602,0.0
12,4,17,4,35-44,0.0745735571999926,0.0745735571999926,0.11915693657198588,4.458337937199327,0.0
12,4,17,5,45-54,0.0745735571999926,0.0745735571999926,0.14724440865104468,7.267085145105208,0.0
12,4,17,6,55-64,0.0745735571999926,0.0745735571999926,0.12170208211155964,4.712852491156704,0.0
12,4,17,7,65-74,0.06230716643381875,0.0745735571999926,0.12465353515556885,6.23463687217501,1.2266390766173856
12,4,17,8,75-84,0.06965213822872043,0.05753141370336025,0.10101238724464827,3.1360249015927835,-1.2120724525360185
12,4,17,9,85+,0.03236916478534387,0.0745735571999926,0.058573573616542515,2.6204408831198642,4.220439241464873
12,4,30,2,16-24,0.08907149740807886,0.0745735571999926,0.1647410609319367,7.566956352385783,-1.4497940208086257
12,4,30,3,25-34,0.0745735571999926,0.0745735571999926,0.10402927597486862,2.945571877487602,0.0
12,4,30,4,35-44,0.0745735571999926,0.0745735571999926,0.11915693657198588,4.458337937199327,0.0
12,4,30,5,45-54,0.0745735571999926,0.0745735571999926,0.14724440865104468,7.267085145105208,0.0
12,4,30,6,55-64,0.0745735571999926,0.0745735571999926,0.12170208211155964,4.712852491156704,0.0
12,4,30,7,65-74,0.06230716643381875,0.0745735571999926,0.12465353515556885,6.23463687217501,1.2266390766173856
12,4,30,8,75-84,0.06965213822872043,0.05753141370336025,0.10101238724464827,3.1360249015927835,-1.2120724525360185
12,4,30,9,85+,0.03236916478534387,0.0745735571999926,0.058573573616542515,2.6204408831198642,4.220439241464873
12,4,35,2,16-24,0.08907149740807886,0.07785896465754077,0.16802646838948487,7.895497098140601,-1.1212532750538087
12,4,35,3,25-34,0.07785896465754077,0.07785896465754077,0.10731468343241679,2.945571877487602,0.0
12,4,35,4,35-44,0.07785896465754077,0.07785896465754077,0.1213111049564278,4.3452140298887025,0.0
12,4,35,5,45-54,0.07785896465754077,0.07785896465754077,0.15052981610859287,7.267085145105209,0.0
12,4,35,6,55-64,0.07785896465754077,0.07785896465754077,0.1249874895691078,4.712852491156702,0.0
