series_id,LA_2023,age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,year8_observed_rate,initial_year8_lag_observed,task,year,forecast_horizon,frequent_volunteer_rate_lag1,lag_1_missing,time_trend,borough_category,age_activity_group,selected_model,raw_predicted_rate,predicted_rate,was_clipped,lag_source,predicted_rate_pp,change_from_year8_pp
borough_109__age_9__activity_1,109,9,85+,1,fairly_active,,False,borough_age_activity,9,1,,1,6,109,85+__fairly_active,Gradient Boosting,0.03213512871219477,0.03213512871219477,False,missing_year8,3.2135128712194767,
borough_109__age_9__activity_2,109,9,85+,2,active,,False,borough_age_activity,9,1,,1,6,109,85+__active,Gradient Boosting,0.021242280250020253,0.021242280250020253,False,missing_year8,2.1242280250020253,
borough_112__age_2__activity_0,112,2,16-24,0,inactive,0.0,True,borough_age_activity,9,1,0.0,0,6,112,16-24__inactive,Gradient Boosting,0.061433500249734596,0.061433500249734596,False,observed_year8,6.14335002497346,6.14335002497346
borough_112__age_2__activity_1,112,2,16-24,1,fairly_active,0.0,True,borough_age_activity,9,1,0.0,0,6,112,16-24__fairly_active,Gradient Boosting,0.04693556004164831,0.04693556004164831,False,observed_year8,4.693556004164831,4.693556004164831
borough_112__age_2__activity_2,112,2,16-24,2,active,0.2838032562069369,True,borough_age_activity,9,1,0.2838032562069369,0,6,112,16-24__active,Gradient Boosting,0.16321323037592025,0.16321323037592025,False,observed_year8,16.321323037592027,-12.059002583101666
borough_112__age_3__activity_0,112,3,25-34,0,inactive,0.0,True,borough_age_activity,9,1,0.0,0,6,112,25-34__inactive,Gradient Boosting,0.04693556004164831,0.04693556004164831,False,observed_year8,4.693556004164831,4.693556004164831
borough_112__age_3__activity_1,112,3,25-34,1,fairly_active,0.0,True,borough_age_activity,9,1,0.0,0,6,112,25-34__fairly_active,Gradient Boosting,0.04693556004164831,0.04693556004164831,False,observed_year8,4.693556004164831,4.693556004164831
borough_112__age_3__activity_2,112,3,25-34,2,active,0.0810154400116009,True,borough_age_activity,9,1,0.0810154400116009,0,6,112,25-34__active,Gradient Boosting,0.0998081101875119,0.0998081101875119,False,observed_year8,9.98081101875119,1.8792670175911006
borough_112__age_4__activity_0,112,4,35-44,0,inactive,0.1153753204336443,True,borough_age_activity,9,1,0.1153753204336443,0,6,112,35-44__inactive,Gradient Boosting,0.06968637243857861,0.06968637243857861,False,observed_year8,6.968637243857861,-4.568894799506569
borough_112__age_4__activity_1,112,4,35-44,1,fairly_active,0.0,True,borough_age_activity,9,1,0.0,0,6,112,35-44__fairly_active,Gradient Boosting,0.04693556004164831,0.04693556004164831,False,observed_year8,4.693556004164831,4.693556004164831
borough_112__age_4__activity_2,112,4,35-44,2,active,0.0697196633666542,True,borough_age_activity,9,1,0.0697196633666542,0,6,112,35-44__active,Gradient Boosting,0.12019165473710192,0.12019165473710192,False,observed_year8,12.019165473710192,5.047199137044772
borough_112__age_5__activity_0,112,5,45-54,0,inactive,0.186340148574456,True,borough_age_activity,9,1,0.186340148574456,0,6,112,45-54__inactive,Gradient Boosting,0.07020925340127397,0.07020925340127397,False,observed_year8,7.020925340127397,-11.613089517318203
borough_112__age_5__activity_1,112,5,45-54,1,fairly_active,0.0,True,borough_age_activity,9,1,0.0,0,6,112,45-54__fairly_active,Gradient Boosting,0.04933182642664626,0.04933182642664626,False,observed_year8,4.933182642664626,4.933182642664626
borough_112__age_5__activity_2,112,5,45-54,2,active,0.1512011674714929,True,borough_age_activity,9,1,0.1512011674714929,0,6,112,45-54__active,Gradient Boosting,0.14465376425072798,0.14465376425072798,False,observed_year8,14.4653764250728,-0.6547403220764914
borough_112__age_6__activity_0,112,6,55-64,0,inactive,0.0,True,borough_age_activity,9,1,0.0,0,6,112,55-64__inactive,Gradient Boosting,0.04693556004164831,0.04693556004164831,False,observed_year8,4.693556004164831,4.693556004164831
borough_112__age_6__activity_1,112,6,55-64,1,fairly_active,0.0,True,borough_age_activity,9,1,0.0,0,6,112,55-64__fairly_active,Gradient Boosting,0.04693556004164831,0.04693556004164831,False,observed_year8,4.693556004164831,4.693556004164831
borough_112__age_6__activity_2,112,6,55-64,2,active,0.0505428986191546,True,borough_age_activity,9,1,0.0505428986191546,0,6,112,55-64__active,Gradient Boosting,0.1205348963568756,0.1205348963568756,False,observed_year8,12.05348963568756,6.9991997737721
borough_112__age_7__activity_0,112,7,65-74,0,inactive,0.0560505160939747,True,borough_age_activity,9,1,0.0560505160939747,0,6,112,65-74__inactive,Gradient Boosting,0.058086000646462035,0.058086000646462035,False,observed_year8,5.808600064646203,0.20354845524873377
borough_112__age_7__activity_1,112,7,65-74,1,fairly_active,0.0,True,borough_age_activity,9,1,0.0,0,6,112,65-74__fairly_active,Gradient Boosting,0.04693556004164831,0.04693556004164831,False,observed_year8,4.693556004164831,4.693556004164831
borough_112__age_7__activity_2,112,7,65-74,2,active,0.1387962470620164,True,borough_age_activity,9,1,0.1387962470620164,0,6,112,65-74__active,Gradient Boosting,0.11811614248361513,0.11811614248361513,False,observed_year8,11.811614248361513,-2.0680104578401277
borough_112__age_8__activity_0,112,8,75-84,0,inactive,0.0,True,borough_age_activity,9,1,0.0,0,6,112,75-84__inactive,Gradient Boosting,0.03721997653548155,0.03721997653548155,False,observed_year8,3.721997653548155,3.721997653548155
borough_112__age_8__activity_1,112,8,75-84,1,fairly_active,0.0,True,borough_age_activity,9,1,0.0,0,6,112,75-84__fairly_active,Gradient Boosting,0.031201391438127113,0.031201391438127113,False,observed_year8,3.120139143812711,3.120139143812711
borough_112__age_8__activity_2,112,8,75-84,2,active,0.4473402414045513,True,borough_age_activity,9,1,0.4473402414045513,0,6,112,75-84__active,Gradient Boosting,0.0946950537144269,0.0946950537144269,False,observed_year8,9.46950537144269,-35.26451876901244
borough_112__age_9__activity_0,112,9,85+,0,inactive,0.0,True,borough_age_activity,9,1,0.0,0,6,112,85+__inactive,Gradient Boosting,0.02905988028197914,0.02905988028197914,False,observed_year8,2.905988028197914,2.905988028197914
borough_112__age_9__activity_1,112,9,85+,1,fairly_active,,False,borough_age_activity,9,1,,1,6,112,85+__fairly_active,Gradient Boosting,0.042470660756630224,0.042470660756630224,False,missing_year8,4.247066075663023,
borough_112__age_9__activity_2,112,9,85+,2,active,0.0,True,borough_age_activity,9,1,0.0,0,6,112,85+__active,Gradient Boosting,0.034790764835539306,0.034790764835539306,False,observed_year8,3.4790764835539307,3.4790764835539307
