series_id,LA_2023,activity_level_3cat,activity_level_3cat_label,year,forecast_horizon,task,model,candidate_id,is_primary_model,predicted_rate,age_group_code,age_group,primary_predicted_rate,difference_from_primary_pp,abs_difference_from_primary_pp
borough_68__activity_0,68,0.0,inactive,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07360591322213376,,,0.06841136880330317,0.5194544418830591,0.5194544418830591
borough_68__activity_1,68,1.0,fairly_active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07983295895712203,,,0.08078628982429877,-0.09533308671767354,0.09533308671767354
borough_68__activity_2,68,2.0,active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.16062653795658913,,,0.13818283911364448,2.244369884294464,2.244369884294464
borough_78__activity_0,78,0.0,inactive,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07548684507582451,,,0.06998978667068802,0.5497058405136492,0.5497058405136492
borough_78__activity_1,78,1.0,fairly_active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.08171389081081278,,,0.08577678475949069,-0.4062893948677912,0.4062893948677912
borough_78__activity_2,78,2.0,active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.16062653795658913,,,0.13818283911364448,2.244369884294464,2.244369884294464
borough_8__activity_0,8,0.0,inactive,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07165427027560889,,,0.0690660251978931,0.2588245077715795,0.2588245077715795
borough_8__activity_1,8,1.0,fairly_active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07788131601059715,,,0.08325071435033891,-0.536939833974176,0.536939833974176
borough_8__activity_2,8,2.0,active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.13621044475653013,,,0.136091790114754,0.011865464177612806,0.011865464177612806
borough_91__activity_0,91,0.0,inactive,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07388193025271213,,,0.06910848477215382,0.47734454805583026,0.47734454805583026
borough_91__activity_1,91,1.0,fairly_active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07983295895712203,,,0.08091591007188326,-0.1082951114761227,0.1082951114761227
borough_91__activity_2,91,2.0,active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.16062653795658913,,,0.13818283911364448,2.244369884294464,2.244369884294464
borough_9__activity_0,9,0.0,inactive,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07548684507582451,,,0.06804137679408283,0.7445468281741683,0.7445468281741683
borough_9__activity_1,9,1.0,fairly_active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.08010897598770039,,,0.08231331193382975,-0.2204335946129357,0.2204335946129357
borough_9__activity_2,9,2.0,active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.13774786611995207,,,0.13623669158161963,0.15111745383324382,0.15111745383324382
borough_107__activity_0,107,0.0,inactive,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07360591322213376,,,0.06998978667068802,0.36161265514457475,0.36161265514457475
borough_107__activity_1,107,1.0,fairly_active,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07983295895712203,,,0.08078628982429877,-0.09533308671767354,0.09533308671767354
borough_107__activity_2,107,2.0,active,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.13774786611995207,,,0.13683537991711317,0.09124862028389025,0.09124862028389025
borough_109__activity_0,109,0.0,inactive,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.06052967701327635,,,0.06998978667068802,-0.9460109657411668,0.9460109657411668
borough_109__activity_1,109,1.0,fairly_active,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.06175735771415806,,,0.07714023819129973,-1.5382880477141667,1.5382880477141667
borough_109__activity_2,109,2.0,active,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.125147154362528,,,0.13679674147719892,-1.1649587114670927,1.1649587114670927
borough_112__activity_0,112,0.0,inactive,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07002744543648368,,,0.06998978667068802,0.0037658765795658966,0.0037658765795658966
borough_112__activity_1,112,1.0,fairly_active,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.0743735593177812,,,0.07714023819129973,-0.276667887351853,0.276667887351853
borough_112__activity_2,112,2.0,active,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.13285720223684863,,,0.13679674147719892,-0.3939539240350287,0.3939539240350287
borough_114__activity_0,114,0.0,inactive,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07548684507582451,,,0.06998978667068802,0.5497058405136492,0.5497058405136492
borough_114__activity_1,114,1.0,fairly_active,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07983295895712203,,,0.07714023819129973,0.2692720765822304,0.2692720765822304
borough_114__activity_2,114,2.0,active,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.13774786611995207,,,0.13697859587679026,0.07692702431618126,0.07692702431618126
borough_117__activity_0,117,0.0,inactive,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07548684507582451,,,0.06998978667068802,0.5497058405136492,0.5497058405136492
borough_117__activity_1,117,1.0,fairly_active,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.08010897598770039,,,0.07714023819129973,0.29687377964006667,0.29687377964006667
borough_117__activity_2,117,2.0,active,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.13774786611995207,,,0.13697859587679026,0.07692702431618126,0.07692702431618126
borough_122__activity_0,122,0.0,inactive,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07548684507582451,,,0.06998978667068802,0.5497058405136492,0.5497058405136492
borough_122__activity_1,122,1.0,fairly_active,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07983295895712203,,,0.07714023819129973,0.2692720765822304,0.2692720765822304
borough_122__activity_2,122,2.0,active,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.13774786611995207,,,0.13679674147719892,0.09511246427531539,0.09511246427531539
borough_126__activity_0,126,0.0,inactive,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07360591322213376,,,0.06998978667068802,0.36161265514457475,0.36161265514457475
borough_126__activity_1,126,1.0,fairly_active,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07983295895712203,,,0.08078628982429877,-0.09533308671767354,0.09533308671767354
borough_126__activity_2,126,2.0,active,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.13774786611995207,,,0.13697859587679026,0.07692702431618126,0.07692702431618126
borough_129__activity_0,129,0.0,inactive,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07581331524185704,,,0.07003696800437757,0.5776347237479468,0.5776347237479468
borough_129__activity_1,129,1.0,fairly_active,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.08176434394626694,,,0.07714023819129973,0.4624105754967217,0.4624105754967217
borough_129__activity_2,129,2.0,active,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.13967925110909696,,,0.13697859587679026,0.2700655232306698,0.2700655232306698
borough_135__activity_0,135,0.0,inactive,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07046770737896678,,,0.06998978667068802,0.047792070827876176,0.047792070827876176
borough_135__activity_1,135,1.0,fairly_active,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.0748138212602643,,,0.07714023819129973,-0.2326416931035427,0.2326416931035427
borough_135__activity_2,135,2.0,active,10,2,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.13272872842309436,,,0.13683537991711317,-0.4106651494018815,0.4106651494018815
