model,candidate_id,year,forecast_horizon,LA_2023,age_group_code,age_group,inactive_rate,fairly_active_rate,active_rate,active_inactive_gap_pp,fairly_active_inactive_gap_pp,primary_active_inactive_gap_pp,primary_fairly_active_inactive_gap_pp,active_gap_difference_pp,fairly_active_gap_difference_pp,active_gap_sign_reversal,fairly_active_gap_sign_reversal
Random Forest,Random Forest_05,9,1,107,7.0,65-74,0.07419990854266117,0.0796766759140486,0.13234506532729334,5.814515678463216,0.5476767371387428,6.23463687217501,-1.087129598509494,-0.42012119371179324,1.6348063356482367,False,True
Random Forest,Random Forest_05,9,1,107,8.0,75-84,0.07546961885265083,0.07313902842163668,0.11881433938685296,4.334472053420213,-0.23305904310141484,2.3357121354634094,-2.916093340931287,1.9987599179568036,2.683034297829872,False,False
Random Forest,Random Forest_05,9,1,107,9.0,85+,0.07833796045967531,0.06251431382090057,0.08153545191894439,0.3197491459269078,-1.5823646638774738,0.5730884553560162,1.2781564298348245,-0.2533393094291084,-2.8605210937122982,False,True
Random Forest,Random Forest_05,9,1,109,2.0,16-24,0.09521569186905543,0.09810554997670665,0.17262767974300808,7.741198787395264,0.28898581076512164,6.9740205404054905,-3.811302251936489,0.7671782469897739,4.100288062701611,False,True
Random Forest,Random Forest_05,9,1,109,3.0,25-34,0.08455437451011541,0.07905590257639826,0.10436909086368512,1.981471635356971,-0.5498471933717151,2.9455718774876036,-2.3137686751268802,-0.9641002421306326,1.7639214817551652,False,False
Random Forest,Random Forest_05,9,1,109,4.0,35-44,0.08506828472200124,0.0825796214476944,0.12294816797474192,3.787988325274068,-0.24886632743068432,4.48947144027407,-2.3137686751268802,-0.7014831150000016,2.064902347696196,False,False
Random Forest,Random Forest_05,9,1,109,5.0,45-54,0.07380949099439142,0.0886922290038533,0.1516229611429249,7.781347014853347,1.4882738009461882,9.581453153833234,0.383268196147759,-1.8001061389798867,1.1050056047984294,False,False
Random Forest,Random Forest_05,9,1,109,6.0,55-64,0.0851545971396697,0.07763161624014811,0.1302669307085416,4.511233356887188,-0.7522980899521594,5.5480783856147085,-2.3137686751268802,-1.0368450287275204,1.5614705851747208,False,False
Random Forest,Random Forest_05,9,1,109,7.0,65-74,0.06186226313913056,0.07632442126656115,0.1309990683810749,6.913680524194432,1.4462158127430589,7.813129466296369,0.7235850176727041,-0.8994489421019365,0.7226307950703548,False,False
Random Forest,Random Forest_05,9,1,109,8.0,75-84,0.06974233976535421,0.0704551996357421,0.11718871978448775,4.744638001913354,0.0712859870387883,4.12854064636905,-0.601858509735442,0.6160973555443041,0.6731444967742303,False,True
Random Forest,Random Forest_05,9,1,109,9.0,85+,0.08264665261474337,0.061142588121207306,0.06341227972429407,-1.9234372890449296,-2.150406449353606,-2.820470314063849,-1.7311854678463974,0.8970330250189193,-0.41922098150720877,False,False
