series_id,LA_2023,age_group_code,age_group,year8_observed_rate,initial_year8_lag_observed,task,year,forecast_horizon,frequent_volunteer_rate_lag1,lag_1_missing,time_trend,borough_category,age_group_category,selected_model,raw_predicted_rate,predicted_rate,was_clipped,lag_source,predicted_rate_pp,change_from_year8_pp
borough_142__age_9,142,9,85+,0.0,True,borough_age,9,1,0.0,0,6,142,85+,Gradient Boosting,0.030881796315896357,0.030881796315896357,False,observed_year8,3.088179631589636,3.088179631589636
borough_147__age_2,147,2,16-24,0.196398297399681,True,borough_age,9,1,0.196398297399681,0,6,147,16-24,Gradient Boosting,0.14690816616961425,0.14690816616961425,False,observed_year8,14.690816616961424,-4.949013123006677
borough_147__age_3,147,3,25-34,0.0993770353495688,True,borough_age,9,1,0.0993770353495688,0,6,147,25-34,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,0.274474792655173
borough_147__age_4,147,4,35-44,0.1112160838467972,True,borough_age,9,1,0.1112160838467972,0,6,147,35-44,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-0.9094300570676659
borough_147__age_5,147,5,45-54,0.0742297569563128,True,borough_age,9,1,0.0742297569563128,0,6,147,45-54,Gradient Boosting,0.12215764565241072,0.12215764565241072,False,observed_year8,12.215764565241072,4.792788869609792
borough_147__age_6,147,6,55-64,0.1531209759135563,True,borough_age,9,1,0.1531209759135563,0,6,147,55-64,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-5.099919263743577
borough_147__age_7,147,7,65-74,0.189779234514427,True,borough_age,9,1,0.189779234514427,0,6,147,65-74,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-8.765745123830646
borough_147__age_8,147,8,75-84,0.0,True,borough_age,9,1,0.0,0,6,147,75-84,Gradient Boosting,0.09488684547263461,0.09488684547263461,False,observed_year8,9.48868454726346,9.48868454726346
borough_147__age_9,147,9,85+,0.0,True,borough_age,9,1,0.0,0,6,147,85+,Gradient Boosting,0.030881796315896357,0.030881796315896357,False,observed_year8,3.088179631589636,3.088179631589636
borough_160__age_2,160,2,16-24,0.0916932925465047,True,borough_age,9,1,0.0916932925465047,0,6,160,16-24,Gradient Boosting,0.14690816616961425,0.14690816616961425,False,observed_year8,14.690816616961424,5.521487362310955
borough_160__age_3,160,3,25-34,0.0969066096579196,True,borough_age,9,1,0.0969066096579196,0,6,160,25-34,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,0.5215173618200939
borough_160__age_4,160,4,35-44,0.1120261529828093,True,borough_age,9,1,0.1120261529828093,0,6,160,35-44,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-0.9904369706688759
borough_160__age_5,160,5,45-54,0.1807579552473695,True,borough_age,9,1,0.1807579552473695,0,6,160,45-54,Gradient Boosting,0.12215764565241072,0.12215764565241072,False,observed_year8,12.215764565241072,-5.860030959495879
borough_160__age_6,160,6,55-64,0.191995511675405,True,borough_age,9,1,0.191995511675405,0,6,160,55-64,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-8.987372839928446
borough_160__age_7,160,7,65-74,0.1412572610227118,True,borough_age,9,1,0.1412572610227118,0,6,160,65-74,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-3.9135477746591265
borough_160__age_8,160,8,75-84,0.2536783312980147,True,borough_age,9,1,0.2536783312980147,0,6,160,75-84,Gradient Boosting,0.09705618097211419,0.09705618097211419,False,observed_year8,9.705618097211419,-15.662215032590051
borough_160__age_9,160,9,85+,0.0,True,borough_age,9,1,0.0,0,6,160,85+,Gradient Boosting,0.030881796315896357,0.030881796315896357,False,observed_year8,3.088179631589636,3.088179631589636
borough_171__age_2,171,2,16-24,0.1246471577536642,True,borough_age,9,1,0.1246471577536642,0,6,171,16-24,Gradient Boosting,0.14690816616961425,0.14690816616961425,False,observed_year8,14.690816616961424,2.226100841595005
borough_171__age_3,171,3,25-34,0.131947085239157,True,borough_age,9,1,0.131947085239157,0,6,171,25-34,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-2.9825301963036455
borough_171__age_4,171,4,35-44,0.1348130539703271,True,borough_age,9,1,0.1348130539703271,0,6,171,35-44,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-3.269127069420658
borough_171__age_5,171,5,45-54,0.1209898796757911,True,borough_age,9,1,0.1209898796757911,0,6,171,45-54,Gradient Boosting,0.12215764565241072,0.12215764565241072,False,observed_year8,12.215764565241072,0.11677659766196197
borough_171__age_6,171,6,55-64,0.131849246369915,True,borough_age,9,1,0.131849246369915,0,6,171,55-64,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-2.9727463093794455
borough_171__age_7,171,7,65-74,0.1688574634382696,True,borough_age,9,1,0.1688574634382696,0,6,171,65-74,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-6.673568016214906
borough_171__age_8,171,8,75-84,0.2390540445425562,True,borough_age,9,1,0.2390540445425562,0,6,171,75-84,Gradient Boosting,0.09705618097211419,0.09705618097211419,False,observed_year8,9.705618097211419,-14.1997863570442
borough_171__age_9,171,9,85+,0.0,True,borough_age,9,1,0.0,0,6,171,85+,Gradient Boosting,0.030881796315896357,0.030881796315896357,False,observed_year8,3.088179631589636,3.088179631589636
borough_17__age_2,17,2,16-24,0.139009438983777,True,borough_age,9,1,0.139009438983777,0,6,17,16-24,Gradient Boosting,0.14690816616961425,0.14690816616961425,False,observed_year8,14.690816616961424,0.7898727185837257
borough_17__age_3,17,3,25-34,0.0745490192337595,True,borough_age,9,1,0.0745490192337595,0,6,17,25-34,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,2.7572764042361033
borough_17__age_4,17,4,35-44,0.1261271779449969,True,borough_age,9,1,0.1261271779449969,0,6,17,35-44,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-2.4005394668876354
borough_17__age_5,17,5,45-54,0.06627607213547,True,borough_age,9,1,0.06627607213547,0,6,17,45-54,Gradient Boosting,0.12215764565241072,0.12215764565241072,False,observed_year8,12.215764565241072,5.588157351694072
borough_17__age_6,17,6,55-64,0.1467705596247256,True,borough_age,9,1,0.1467705596247256,0,6,17,55-64,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-4.464877634860506
borough_17__age_7,17,7,65-74,0.1660897663475511,True,borough_age,9,1,0.1660897663475511,0,6,17,65-74,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-6.396798307143056
