model,candidate_id,year,forecast_horizon,age_group_code,age_group,boroughs,mean_active_inactive_gap_pp,median_abs_active_gap_difference_pp,p90_abs_active_gap_difference_pp,active_gap_sign_reversal_rate,mean_fairly_active_inactive_gap_pp,median_abs_fairly_active_gap_difference_pp,p90_abs_fairly_active_gap_difference_pp,fairly_active_gap_sign_reversal_rate
Ridge Regression,Ridge Regression_07,11,3,5.0,45-54,32,0.1988500969836768,7.068274845139156,7.221358581849092,0.0,0.053795861965243774,0.0537894218212355,0.05397313697900363,0.03125
Ridge Regression,Ridge Regression_07,11,3,6.0,55-64,32,0.12945869959384523,4.583396831245691,5.113282401905816,0.0,0.027880648993685274,0.027875109650203622,0.027959133307208645,0.0
Ridge Regression,Ridge Regression_07,11,3,7.0,65-74,32,0.17298965568132832,6.061594953411875,6.1338083618287955,0.0,0.07136953969880096,1.1551830630517048,1.155376626742922,0.0
Ridge Regression,Ridge Regression_07,11,3,8.0,75-84,32,0.1500432590232911,2.985990814629095,3.5158097604802485,0.0,0.01888242137903732,1.2309743722602224,2.781170165868164,1.0
Ridge Regression,Ridge Regression_07,11,3,9.0,85+,32,0.021379807891901442,2.36452348628175,2.599067308938551,0.09375,-0.0007170469202730841,4.221059275905266,4.22117205552373,0.96875
Ridge Regression,Ridge Regression_07,12,4,2.0,16-24,32,0.15184785714482482,7.415108186639679,7.440809282238629,0.0,0.016722713500020008,1.4665168839231821,1.9963444733632625,1.0
Ridge Regression,Ridge Regression_07,12,4,3.0,25-34,32,0.10359452267070901,2.841978132115874,3.3718039695069906,0.0,0.032806057338540404,0.03280599177535107,0.032808620840647645,0.0
Ridge Regression,Ridge Regression_07,12,4,4.0,35-44,32,0.11517060713318829,4.343167272813125,5.081186955600188,0.0,0.03065536411921161,0.03065511303693841,0.030657750304447506,0.0
Ridge Regression,Ridge Regression_07,12,4,5.0,45-54,32,0.19878865932037806,7.068297249370373,7.221339325108061,0.0,0.05378991804391806,0.05378979447684812,0.05379331942034951,0.03125
Ridge Regression,Ridge Regression_07,12,4,6.0,55-64,32,0.12939756959215554,4.583454979886955,5.275505181038898,0.0,0.027875409053665152,0.027875302770258292,0.02787691493251712,0.0
Ridge Regression,Ridge Regression_07,12,4,7.0,65-74,32,0.17292048601757434,6.0617152917215975,6.11642893294377,0.0,0.07136292297689793,1.1552744944660422,1.1552782083733952,0.0
Ridge Regression,Ridge Regression_07,12,4,8.0,75-84,32,0.15003530239115737,2.9859897751859723,3.5158174947424383,0.0,0.01890167656275108,1.2309745032136,1.230983762879516,1.0
Ridge Regression,Ridge Regression_07,12,4,9.0,85+,32,0.021373841864659633,2.599067160861435,2.5990693247644474,0.125,-0.0006219001148782474,4.221059280200894,4.2210614441039045,1.0
Ridge Regression,Ridge Regression_07,13,5,2.0,16-24,32,0.15184677471454522,7.415109571750104,7.440810237167177,0.0,0.016722862466831336,1.4665168861461118,1.9963447715471556,1.0
Ridge Regression,Ridge Regression_07,13,5,3.0,25-34,32,0.1035942418165744,2.8419776505850667,3.3718055023695412,0.0,0.032806233683537474,0.03280623242557651,0.03280628286946266,0.0
Ridge Regression,Ridge Regression_07,13,5,4.0,35-44,32,0.11516975162404117,4.343168184476772,5.021245737171436,0.0,0.030655121929364006,0.030655117111846875,0.030655167713108944,0.0
Ridge Regression,Ridge Regression_07,13,5,5.0,45-54,32,0.19878748051567527,7.068297679240452,7.221338955628891,0.0,0.053789803997874926,0.053789801626992484,0.053789869260098266,0.03125
Ridge Regression,Ridge Regression_07,13,5,6.0,55-64,32,0.12939639669055739,4.583456095585179,5.275505682913803,0.0,0.027875308514914127,0.027875306475654005,0.027875337408218293,0.0
Ridge Regression,Ridge Regression_07,13,5,7.0,65-74,32,0.17291915885894615,6.061717694075872,6.13385172620587,0.0,0.07136279602182735,1.1552762487609718,1.1552763200197278,0.0
Ridge Regression,Ridge Regression_07,13,5,8.0,75-84,32,0.1500351497272233,2.985989755242172,3.5158176431397594,0.0,0.01890204601204177,1.2309745057262025,1.2309746833914517,1.0
Ridge Regression,Ridge Regression_07,13,5,9.0,85+,32,0.021373727394470014,2.599067158020279,2.599067199539096,0.125,-0.0006200745327246144,4.221059280283313,4.22105932180213,1.0
Ridge Regression,Ridge Regression_07,14,6,2.0,16-24,32,0.15184675394595087,7.415109598326223,7.4408102554893985,0.0,0.016722865325058095,1.466516886188763,1.9963447772684113,1.0
Ridge Regression,Ridge Regression_07,14,6,3.0,25-34,32,0.10359423642782518,2.841977641345933,3.37180553178058,0.0,0.032806237067069685,0.0328062370429337,0.032806238010799765,0.0
Ridge Regression,Ridge Regression_07,14,6,4.0,35-44,32,0.11516973520938342,4.343168201968867,5.081187454223574,0.0,0.03065511728246608,0.030655117190032943,0.030655118160919093,0.0
Ridge Regression,Ridge Regression_07,14,6,5.0,45-54,32,0.1987874578979445,7.06829768748837,7.221338948539691,0.0,0.053789801809672785,0.05378980176418274,0.0537898030618586,0.03125
Ridge Regression,Ridge Regression_07,14,6,6.0,55-64,32,0.12939637418608937,4.583456116992085,5.275505692543279,0.0,0.027875306585876558,0.027875306546748524,0.027875307140252936,0.0
Ridge Regression,Ridge Regression_07,14,6,7.0,65-74,32,0.17291913339474824,6.061717738377354,6.116431048213965,0.0,0.07136279358593987,1.155276282420635,1.1552762837878783,0.0
Ridge Regression,Ridge Regression_07,14,6,8.0,75-84,32,0.15003514679805957,2.985989754859511,3.5158176459870596,0.0,0.018902053100666685,1.230974505774411,1.2309745091832753,1.0
Ridge Regression,Ridge Regression_07,14,6,9.0,85+,32,0.02137372519812981,2.5990671579657656,2.599067158762388,0.125,-0.0006200395052723216,4.221059280284895,4.2210592810815175,1.0
