LA_2023,disability_group,activity,predicted_participation
196,disty6,ACTTRAV_C03,0.5011170035667027
196,disty7,ACTTRAV_C03,0.5403650068561128
196,disty8,GARD_B08,0.5384226297655025
196,disty9,ACTTRAV_C03,0.3798641498619123
196,limiting_disability,ACTTRAV_C03,0.5840045745933699
196,no_disability,WALKTRAV_B02,0.6284496842771474
196,non_limiting_disability,ACTTRAV_C03,0.7164812176678874
201,disty1,ACTTRAV_C03,0.5232218900414122
201,disty11,ACTTRAV_C03,0.5463280364092683
201,disty12,ACTTRAV_C03,0.6464821058431915
201,disty13,ACTTRAV_C03,0.7008746264790607
201,disty2,WALKTRAV_B02,0.45150404154352264
201,disty3,WALKTRAV_B02,0.4800256446644914
201,disty4,ACTTRAV_C03,0.5599289362344508
201,disty5,ACTTRAV_C03,0.6191537910984725
201,disty6,WALKTRAV_B02,0.5667515949014388
201,disty7,GARD_B08,0.48894748529280657
201,disty8,ACTTRAV_C03,0.5954514896459322
201,disty9,ACTTRAV_C03,0.4458741184805731
201,limiting_disability,WALKTRAV_B02,0.5669449590927084
201,no_disability,ACTTRAV_C03,0.7161651330709665
201,non_limiting_disability,ACTTRAV_C03,0.6573939653228437
241,disty1,ACTTRAV_C03,0.6127419898008055
241,disty10,WALKTRAV_B02,0.5796409284662308
241,disty11,WALKTRAV_B02,0.5122105393827232
241,disty12,ACTTRAV_C03,0.6478248761917611
241,disty13,ACTTRAV_C03,0.6531029937625308
241,disty2,ACTTRAV_C03,0.6400233797422239
241,disty3,ACTTRAV_C03,0.48284494920032345
241,disty4,WALKTRAV_B02,0.5683771862303437
241,disty5,ACTTRAV_C03,0.7023936755147677
241,disty6,ACTTRAV_C03,0.626326923791197
241,disty7,ACTTRAV_C03,0.6599635780499707
241,disty8,ACTTRAV_C03,0.6277204567505502
241,disty9,WALKTRAV_B02,0.5693602773851795
241,limiting_disability,ACTTRAV_C03,0.6603050432293165
241,no_disability,ACTTRAV_C03,0.7745753516396157
241,non_limiting_disability,WALKTRAV_B02,0.7615177283155871
255,disty1,GARD_B08,0.5492596553808997
255,disty10,WALKTRAV_B02,0.36585835815023193
255,disty11,ACTTRAV_C03,0.45781943425690674
255,disty12,ACTTRAV_C03,0.616983207341921
255,disty13,ACTTRAV_C03,0.5489240221758577
255,disty2,ACTTRAV_C03,0.48047123607203435
255,disty3,GARD_B08,0.5093813604800768
255,disty4,GARD_B08,0.5431961841730919
255,disty5,ACTTRAV_C03,0.6131140627372449
255,disty6,ACTTRAV_C03,0.4932672703978128
255,disty7,WALKTRAV_B02,0.4496632490671149
255,disty8,WALKTRAV_B02,0.4789865658355817
255,disty9,WALKTRAV_B02,0.502727550195992
255,limiting_disability,WALKTRAV_B02,0.5360297016843807
255,no_disability,ACTTRAV_C03,0.6388661301716648
255,non_limiting_disability,WALKTRAV_B02,0.5767161886842155
272,disty1,ACTTRAV_C03,0.5836390857864876
272,disty10,ACTTRAV_C03,0.6058341417199076
272,disty11,ACTTRAV_C03,0.5860055766128814
272,disty12,ACTTRAV_C03,0.7067561296769501
272,disty13,WALKTRAV_B02,0.5713203188159441
272,disty2,ACTTRAV_C03,0.6232255154781181
272,disty3,ACTTRAV_C03,0.5747701324727597
272,disty4,ACTTRAV_C03,0.6901777298267049
272,disty5,ACTTRAV_C03,0.6450326286082643
272,disty6,ACTTRAV_C03,0.5104463543656388
272,disty7,ACTTRAV_C03,0.6194576142889016
272,disty8,ACTTRAV_C03,0.6362252376057642
272,disty9,WALKTRAV_B02,0.5678610223771552
272,limiting_disability,ACTTRAV_C03,0.6459627327441969
272,no_disability,ACTTRAV_C03,0.7385348683481903
272,non_limiting_disability,ACTTRAV_C03,0.81229628284656
279,disty1,ACTTRAV_C03,0.5539860840993008
279,disty10,WALKTRAV_B02,0.5355934787560768
279,disty11,WALKTRAV_B02,0.5435039804034086
279,disty12,WALKTRAV_B02,0.5683271655178943
