series_id,LA_2023,age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,year8_observed_rate,historical_observed_years,historical_effective_n_median,historical_small_cell_share,initial_year8_lag_observed,historical_reliability_band,year,forecast_horizon,frequent_volunteer_rate_lag1,lag_1_missing,time_trend,borough_category,age_activity_group,raw_predicted_rate,predicted_rate,was_clipped,lag_source,model
borough_109__age_8__activity_0,109,8,75-84,0,inactive,0.0,6,1.9844148332913056,1.0,True,below_5,9,1,0.0,0,6,109,75-84__inactive,0.034115575153682486,0.034115575153682486,False,observed_year8,Ridge Regression
borough_109__age_8__activity_1,109,8,75-84,1,fairly_active,0.0,2,1.974814266098765,1.0,True,below_5,9,1,0.0,0,6,109,75-84__fairly_active,0.032372666415516,0.032372666415516,False,observed_year8,Ridge Regression
borough_109__age_8__activity_2,109,8,75-84,2,active,0.0,6,2.743044930980544,1.0,True,below_5,9,1,0.0,0,6,109,75-84__active,0.12376601408930925,0.12376601408930925,False,observed_year8,Ridge Regression
borough_109__age_9__activity_0,109,9,85+,0,inactive,1.0,4,1.0,1.0,True,below_5,9,1,1.0,0,6,109,85+__inactive,0.035602289358753744,0.035602289358753744,False,observed_year8,Ridge Regression
borough_109__age_9__activity_1,109,9,85+,1,fairly_active,,1,1.0,1.0,False,below_5,9,1,,1,6,109,85+__fairly_active,0.035343725384741086,0.035343725384741086,False,missing_year8,Ridge Regression
borough_109__age_9__activity_2,109,9,85+,2,active,,0,,,False,unknown,9,1,,1,6,109,85+__active,0.08164590896333696,0.08164590896333696,False,missing_year8,Ridge Regression
borough_112__age_2__activity_0,112,2,16-24,0,inactive,0.0,6,3.9851956007013274,1.0,True,below_5,9,1,0.0,0,6,112,16-24__inactive,0.09686341960163897,0.09686341960163897,False,observed_year8,Ridge Regression
borough_112__age_2__activity_1,112,2,16-24,1,fairly_active,0.0,6,2.9737909400284814,1.0,True,below_5,9,1,0.0,0,6,112,16-24__fairly_active,0.09959785192185032,0.09959785192185032,False,observed_year8,Ridge Regression
borough_112__age_2__activity_2,112,2,16-24,2,active,0.2838032562069369,6,18.10794266670869,0.5,True,10_to_below_30,9,1,0.2838032562069369,0,6,112,16-24__active,0.15505315705694514,0.15505315705694514,False,observed_year8,Ridge Regression
borough_112__age_3__activity_0,112,3,25-34,0,inactive,0.0,6,5.812495301347111,1.0,True,5_to_below_10,9,1,0.0,0,6,112,25-34__inactive,0.04859501316579634,0.04859501316579634,False,observed_year8,Ridge Regression
borough_112__age_3__activity_1,112,3,25-34,1,fairly_active,0.0,6,2.9914974944746064,1.0,True,below_5,9,1,0.0,0,6,112,25-34__fairly_active,0.06704022241229433,0.06704022241229433,False,observed_year8,Ridge Regression
borough_112__age_3__activity_2,112,3,25-34,2,active,0.0810154400116009,6,38.969665416769054,0.16666666666666666,True,30_or_above,9,1,0.0810154400116009,0,6,112,25-34__active,0.0987627260731529,0.0987627260731529,False,observed_year8,Ridge Regression
borough_112__age_4__activity_0,112,4,35-44,0,inactive,0.1153753204336443,6,5.7952422637935745,1.0,True,5_to_below_10,9,1,0.1153753204336443,0,6,112,35-44__inactive,0.05225064706302669,0.05225064706302669,False,observed_year8,Ridge Regression
borough_112__age_4__activity_1,112,4,35-44,1,fairly_active,0.0,6,4.168511588464664,1.0,True,below_5,9,1,0.0,0,6,112,35-44__fairly_active,0.06846248840113618,0.06846248840113618,False,observed_year8,Ridge Regression
borough_112__age_4__activity_2,112,4,35-44,2,active,0.0697196633666542,6,24.65209648428282,0.3333333333333333,True,10_to_below_30,9,1,0.0697196633666542,0,6,112,35-44__active,0.10994579917700509,0.10994579917700509,False,observed_year8,Ridge Regression
borough_112__age_5__activity_0,112,5,45-54,0,inactive,0.186340148574456,6,6.617848190887605,1.0,True,5_to_below_10,9,1,0.186340148574456,0,6,112,45-54__inactive,0.04291978673983043,0.04291978673983043,False,observed_year8,Ridge Regression
borough_112__age_5__activity_1,112,5,45-54,1,fairly_active,0.0,6,2.2461081729268533,1.0,True,below_5,9,1,0.0,0,6,112,45-54__fairly_active,0.08033860478716928,0.08033860478716928,False,observed_year8,Ridge Regression
borough_112__age_5__activity_2,112,5,45-54,2,active,0.1512011674714929,6,27.743877686977523,0.3333333333333333,True,10_to_below_30,9,1,0.1512011674714929,0,6,112,45-54__active,0.14824950452125413,0.14824950452125413,False,observed_year8,Ridge Regression
borough_112__age_6__activity_0,112,6,55-64,0,inactive,0.0,6,5.981924173361433,1.0,True,5_to_below_10,9,1,0.0,0,6,112,55-64__inactive,0.050501681284364774,0.050501681284364774,False,observed_year8,Ridge Regression
borough_112__age_6__activity_1,112,6,55-64,1,fairly_active,0.0,4,4.254211350231445,1.0,True,below_5,9,1,0.0,0,6,112,55-64__fairly_active,0.06879313702884507,0.06879313702884507,False,observed_year8,Ridge Regression
borough_112__age_6__activity_2,112,6,55-64,2,active,0.0505428986191546,6,21.981329086665752,0.3333333333333333,True,10_to_below_30,9,1,0.0505428986191546,0,6,112,55-64__active,0.11264709699758887,0.11264709699758887,False,observed_year8,Ridge Regression
borough_112__age_7__activity_0,112,7,65-74,0,inactive,0.0560505160939747,6,4.059243216494966,1.0,True,below_5,9,1,0.0560505160939747,0,6,112,65-74__inactive,0.02808640044219818,0.02808640044219818,False,observed_year8,Ridge Regression
borough_112__age_7__activity_1,112,7,65-74,1,fairly_active,0.0,6,1.4930809134028773,1.0,True,below_5,9,1,0.0,0,6,112,65-74__fairly_active,0.07561412895629469,0.07561412895629469,False,observed_year8,Ridge Regression
borough_112__age_7__activity_2,112,7,65-74,2,active,0.1387962470620164,6,12.342379564707695,1.0,True,10_to_below_30,9,1,0.1387962470620164,0,6,112,65-74__active,0.12234140230110895,0.12234140230110895,False,observed_year8,Ridge Regression
borough_112__age_8__activity_0,112,8,75-84,0,inactive,0.0,6,3.7527429834928676,1.0,True,below_5,9,1,0.0,0,6,112,75-84__inactive,0.04345960940274863,0.04345960940274863,False,observed_year8,Ridge Regression
borough_112__age_8__activity_1,112,8,75-84,1,fairly_active,0.0,5,1.0,1.0,True,below_5,9,1,0.0,0,6,112,75-84__fairly_active,0.04171670066458214,0.04171670066458214,False,observed_year8,Ridge Regression
borough_112__age_8__activity_2,112,8,75-84,2,active,0.4473402414045513,6,5.292749692406862,1.0,True,5_to_below_10,9,1,0.4473402414045513,0,6,112,75-84__active,0.11966301933267996,0.11966301933267996,False,observed_year8,Ridge Regression
borough_112__age_9__activity_0,112,9,85+,0,inactive,0.0,4,1.0,1.0,True,below_5,9,1,0.0,0,6,112,85+__inactive,0.07500628191488991,0.07500628191488991,False,observed_year8,Ridge Regression
borough_112__age_9__activity_1,112,9,85+,1,fairly_active,,0,,,False,unknown,9,1,,1,6,112,85+__fairly_active,0.044687759633807236,0.044687759633807236,False,missing_year8,Ridge Regression
borough_112__age_9__activity_2,112,9,85+,2,active,0.0,3,1.0,1.0,True,below_5,9,1,0.0,0,6,112,85+__active,0.09167474265337237,0.09167474265337237,False,observed_year8,Ridge Regression
borough_114__age_2__activity_0,114,2,16-24,0,inactive,0.208987411609344,6,5.902954889324672,1.0,True,5_to_below_10,9,1,0.208987411609344,0,6,114,16-24__inactive,0.12019585779788905,0.12019585779788905,False,observed_year8,Ridge Regression
borough_114__age_2__activity_1,114,2,16-24,1,fairly_active,0.4915355603905894,6,1.966921203085429,1.0,True,below_5,9,1,0.4915355603905894,0,6,114,16-24__fairly_active,0.11443690454599634,0.11443690454599634,False,observed_year8,Ridge Regression
borough_114__age_2__activity_2,114,2,16-24,2,active,0.2853776598509603,6,14.476565464662258,1.0,True,10_to_below_30,9,1,0.2853776598509603,0,6,114,16-24__active,0.18462042162497672,0.18462042162497672,False,observed_year8,Ridge Regression
borough_114__age_3__activity_0,114,3,25-34,0,inactive,0.2687198134476466,6,6.589139338360781,1.0,True,5_to_below_10,9,1,0.2687198134476466,0,6,114,25-34__inactive,0.0701318978532059,0.0701318978532059,False,observed_year8,Ridge Regression
borough_114__age_3__activity_1,114,3,25-34,1,fairly_active,0.0,6,4.765909679182341,1.0,True,below_5,9,1,0.0,0,6,114,25-34__fairly_active,0.09665481348822377,0.09665481348822377,False,observed_year8,Ridge Regression
borough_114__age_3__activity_2,114,3,25-34,2,active,0.0955686464158081,6,31.611263235303824,0.16666666666666666,True,30_or_above,9,1,0.0955686464158081,0,6,114,25-34__active,0.12793984837133768,0.12793984837133768,False,observed_year8,Ridge Regression
borough_114__age_4__activity_0,114,4,35-44,0,inactive,0.1586532030191659,6,7.612784580371307,1.0,True,5_to_below_10,9,1,0.1586532030191659,0,6,114,35-44__inactive,0.08056430679281708,0.08056430679281708,False,observed_year8,Ridge Regression
borough_114__age_4__activity_1,114,4,35-44,1,fairly_active,0.0,6,5.543555821584258,1.0,True,5_to_below_10,9,1,0.0,0,6,114,35-44__fairly_active,0.09807707947706562,0.09807707947706562,False,observed_year8,Ridge Regression
borough_114__age_4__activity_2,114,4,35-44,2,active,0.2456172285560668,6,39.004254581775484,0.16666666666666666,True,30_or_above,9,1,0.2456172285560668,0,6,114,35-44__active,0.13427291677702566,0.13427291677702566,False,observed_year8,Ridge Regression
borough_114__age_5__activity_0,114,5,45-54,0,inactive,0.0,6,6.778327153973937,1.0,True,5_to_below_10,9,1,0.0,0,6,114,45-54__inactive,0.07813575491284125,0.07813575491284125,False,observed_year8,Ridge Regression
borough_114__age_5__activity_1,114,5,45-54,1,fairly_active,0.0,6,4.011173192092248,1.0,True,below_5,9,1,0.0,0,6,114,45-54__fairly_active,0.10995319586309871,0.10995319586309871,False,observed_year8,Ridge Regression
borough_114__age_5__activity_2,114,5,45-54,2,active,0.2421277566063444,6,28.89512539792299,0.3333333333333333,True,10_to_below_30,9,1,0.2421277566063444,0,6,114,45-54__active,0.17513084611878585,0.17513084611878585,False,observed_year8,Ridge Regression
borough_114__age_6__activity_0,114,6,55-64,0,inactive,0.0,6,4.985038843265357,1.0,True,below_5,9,1,0.0,0,6,114,55-64__inactive,0.0801162723602942,0.0801162723602942,False,observed_year8,Ridge Regression
borough_114__age_6__activity_1,114,6,55-64,1,fairly_active,0.1203068827542424,6,2.6824755918867647,1.0,True,below_5,9,1,0.1203068827542424,0,6,114,55-64__fairly_active,0.09479130822512842,0.09479130822512842,False,observed_year8,Ridge Regression
borough_114__age_6__activity_2,114,6,55-64,2,active,0.0818002877643265,6,19.506679625990426,0.3333333333333333,True,10_to_below_30,9,1,0.0818002877643265,0,6,114,55-64__active,0.1413220922590266,0.1413220922590266,False,observed_year8,Ridge Regression
borough_114__age_7__activity_0,114,7,65-74,0,inactive,0.0,6,5.028966161509951,1.0,True,5_to_below_10,9,1,0.0,0,6,114,65-74__inactive,0.05938586769500225,0.05938586769500225,False,observed_year8,Ridge Regression
borough_114__age_7__activity_1,114,7,65-74,1,fairly_active,0.1080751245454708,6,3.41922778116966,1.0,True,below_5,9,1,0.1080751245454708,0,6,114,65-74__fairly_active,0.10197998629435587,0.10197998629435587,False,observed_year8,Ridge Regression
